Город или округ,Православных церквей/монастырей (каменных),Православных церквей/монастырей (деревянных),Неправославных церквей/монастырей (каменных),Неправославных церквей/монастырей (деревянных),Синагог и мечетей (каменных),Синагог и мечетей (деревянных),Домов или дворов (каменных),Домов или дворов (деревянных),Нежилых зданий (каменных),Нежилых зданий (деревянных),Всего зданий (каменных),Всего зданий (деревянных)
Город Красноярск,11,1,1,1,0,1,75,1635,39,150,126,1788
Округ Красноярский,17,74,0,0,0,1,1,12823,0,549,18,13447
Город Енисейск,13,1,0,0,0,1,30,567,8,73,51,642
Округ Енисейский,20,88,0,0,0,1,1,7267,0,421,21,7776
Город Канск,2,0,0,0,0,1,0,437,1,84,3,522
Округ Канский,11,52,0,0,0,1,0,9819,0,200,11,10072
Город Ачинск,2,2,0,0,0,1,0,609,2,110,4,722
Округ Ачинский,11,32,0,0,0,2,2,10949,0,346,13,11327
Город Минусинск,2,3,0,0,0,3,3,631,9,141,14,778
Округ Минусинский,17,35,0,0,0,3,3,17014,0,541,20,17590
Город Туруханск,2,2,0,0,0,0,0,59,0,11,2,72
Туруханский край,1,8,0,0,0,0,0,376,0,22,1,406
Золотые промыслы (Северной системы),0,3,0,0,0,0,0,391,0,123,0,517
Золотые промыслы (Южной системы),0,3,0,0,0,0,0,314,0,93,0,410
Золотые промыслы (Канского округа),0,0,0,0,0,0,0,31,0,15,0,46
Золотые промыслы (Ачинского и Минусинского),0,1,0,0,0,0,0,108,0,37,0,146
Итого в городах,32,12,1,1,0,4,106,3956,51,569,190,4542
Итого в округах,77,266,0,0,0,1,7,59092,0,2377,84,61736
Всего в губернии,109,278,1,1,0,5,113,63048,51,2946,282,66278
