Регион,Смертоубийств всего,Самоубийств М,Самоубийств Ж,Скоропостижно от болезней М,Скоропостижно от болезней Ж,Скоропостижно от пьянства М,Скоропостижно от пьянства Ж,Скоропостижно от неизвестных причин М,Скоропостижно от неизвестных причин Ж,Найдено мертвых тел М,Найдено мертвых тел Ж,Утонуло М,Утонуло Ж,Всего случайно умерло М,Всего случайно умерло Ж,Итого от насилия и случайностей М,Итого от насилия и случайностей Ж
Город Красноярск,7,2,1,5,1,5,1,2,1,5,0,3,0,21,5,45,9
Округ Красноярский,19,2,0,5,0,11,1,7,3,22,0,6,3,49,14,107,26
Город Енисейск,4,0,1,0,0,10,2,0,0,0,0,2,0,9,4,23,7
Округ Енисейский,10,5,0,14,2,9,2,12,0,15,1,21,7,56,15,122,20
Город Канск,7,0,0,0,0,2,0,0,0,0,0,1,0,4,1,11,3
Округ Канский,17,4,0,1,0,6,1,6,4,26,15,10,2,38,8,93,31
Город Ачинск,0,0,0,2,0,0,0,0,0,1,0,1,1,6,2,9,2
Округ Ачинский,16,3,1,1,1,5,1,9,1,0,0,19,3,55,11,85,17
Город Минусинск,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Округ Минусинский,7,5,0,5,0,4,1,6,2,6,2,14,2,46,6,72,14
Енисейский округ (Северная система промыслов),3,0,0,0,0,1,0,4,1,3,0,0,0,2,1,15,2
Енисейский округ (Южная система промыслов),2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0
Ачинский и Минусинский округа (промыслы),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ИТОГО ПО ГУБЕРНИИ,94,22,3,29,4,55,9,49,12,76,16,77,18,281,65,586,151
