Категория населения,Город Красноярск (М),Город Красноярск (Ж),Округ Красноярский (М),Округ Красноярский (Ж),Город Канск (М),Город Канск (Ж)
Дворяне потомственные,116,104,8,5,12,8
Дворяне личные,427,435,8,5,24,18
Духовенство монашествующее,2,28,0,0,0,0
Священнослужители белого духовенства,60,80,83,101,12,14
Церковнослужители белого духовенства,14,11,55,57,5,1
Воспитанники духовного училища,154,0,0,0,0,0
Духовенство Римско-Католическое,1,0,0,0,0,0
Почетные граждане потомственные,19,13,0,0,0,0
Граждане личные,37,32,1,3,1,0
Купцы,165,159,33,34,203,184
Мещане,2695,2387,184,170,661,550
Крестьяне государственные,635,423,19544,19563,114,109
Крестьяне временно-обязанные,0,0,7,3,13,11
Регулярные войска,1146,114,73,28,254,29
Иррегулярные войска (казаки),328,379,2218,2264,21,18
Бессрочно-отпускные,43,21,357,108,11,15
Отставные нижние чины и их семьи,119,183,272,516,17,48
Солдатские сыновья,109,0,132,0,7,0
Нижние чины на казенном содержании,2,0,0,0,2,0
Оседлые инородцы,5,2,185,159,0,0
Разночинцы,35,22,0,0,3,2
Поселенцы всех разрядов,1494,969,14188,6479,145,70
Освобожденные от каторжных работ,0,0,41,6,0,0
ИТОГО ПО ТЕРРИТОРИЯМ,7609,5365,37389,29501,1505,1077
