Категория населения,Троицкий солевар. завод (М),Троицкий солевар. завод (Ж),Город Енисейск (М),Город Енисейск (Ж),Округ Енисейский (М),Округ Енисейский (Ж),Город Туруханск (М),Город Туруханск (Ж),Туруханский край (М),Туруханский край (Ж)
Дворяне потомственные,5,7,27,20,10,7,5,2,0,0
Дворяне личные,8,11,25,20,16,6,6,6,2,0
Духовенство монашествующее,0,0,2,0,0,0,0,0,2,0
Священнослужители белого дух.,2,6,18,17,65,68,1,5,4,3
Церковнослужители белого дух.,1,0,4,2,44,59,1,0,5,9
Почетные граждане потомственные,0,0,10,14,0,0,0,0,0,0
Граждане личные,0,0,3,3,0,0,0,0,0,0
Купцы,7,6,174,147,57,47,0,0,0,0
Мещане,7,7,1272,1112,195,188,60,54,0,0
Крестьяне государственные,141,90,357,229,16643,16657,1,3,153,624
Крестьяне временно-обязанные,0,0,47,7,13,6,0,0,0,0
Регулярные войска,247,28,149,11,0,0,0,0,0,0
Иррегулярные войска (казаки),6,0,74,71,0,0,47,58,17,0
Бессрочно-отпускные,0,0,21,5,147,47,0,0,0,0
Отставные нижние чины и семьи,6,2,5,0,95,46,0,0,0,0
Солдатские сыновья,14,33,28,45,219,458,20,15,0,0
Нижние чины на каз. содерж.,18,0,10,0,119,0,0,0,0,0
Оседлые инородцы,0,0,3,0,0,0,0,0,0,0
Кочующие инородцы,0,0,0,0,158,136,0,0,545,383
Бродячие инородцы,0,0,0,0,16,17,0,0,374,279
Разночинцы,0,0,7,0,783,699,0,0,2179,1986
Поселенцы всех разрядов,7,8,14,18,39,17,0,0,0,0
Освобожденные от каторжных,350,226,119,47,2794,1075,7,6,220,159
С ссыльно-каторжными,246,50,0,0,183,178,0,0,0,0
В семействах прибывших по воле,115,105,0,0,0,0,0,0,0,0
ИТОГО ПО ТЕРРИТОРИЯМ,1180,579,2369,1772,21626,19711,148,149,4001,3443
