Категория населения,Город Ачинск (М),Город Ачинск (Ж),Округ Ачинский (М),Округ Ачинский (Ж),Город Минусинск (М),Город Минусинск (Ж)
Дворяне потомственные,20,15,0,2,43,40
Дворяне личные,59,54,12,15,15,17
Священнослужители белого дух.,13,17,81,100,10,11
Церковнослужители белого дух.,1,1,63,47,9,7
Почетные граждане потомственные,3,2,0,1,2,2
Купцы,72,55,32,33,169,177
Мещане,1099,1183,90,76,1376,1365
Крестьяне государственные,188,112,19499,19275,144,108
Крестьяне временно-обязанные,0,0,56,57,0,0
Регулярные войска,235,61,41,11,193,73
Иррегулярные войска (казаки),12,10,614,502,12,0
Бессрочно-отпускные,20,3,232,173,6,0
Отставные нижние чины и семьи,2,2,125,58,0,0
Солдатские сыновья,14,137,324,711,14,106
Нижние чины на каз. содерж.,28,0,144,0,34,0
Оседлые инородцы,0,0,694,773,32,18
Кочующие инородцы,0,0,3552,3424,0,0
Разночинцы,2,1,10,5,11,7
Поселенцы всех разрядов,214,91,5321,4375,160,60
Освобожденные от каторжных,0,0,20,9,0,0
ИТОГО ПО ТЕРРИТОРИЯМ,1982,1744,30913,29647,2230,1991
