Город или округ,Пожаров зимой,Погоревших дворов зимой,Убытков зимой (руб),Пожаров весной,Погоревших дворов весной,Пожаров летом,Погоревших дворов летом,Убытков летом (руб),Пожаров осенью,Погоревших дворов осенью,Убытков осенью (руб)
Город Красноярск,1,1,550.0,0,0,0,0,0.0,1,1,100.0
Округ Красноярский,4,4,6449.0,11,32,2,2,20.0,12,16,615.0
Город Енисейск,0,0,0.0,0,0,2,3,2000.0,0,0,0.0
Округ Енисейский,3,2,840.0,4,19,6,34,12074.68,4,5,435.0
Город Канск,0,0,0.0,0,0,0,0,0.0,0,0,0.0
Округ Канский,3,3,1042.96,0,0,1,1,105.55,4,5,1097.60
Город Ачинск,1,1,1500.0,0,0,0,0,0.0,0,0,0.0
Округ Ачинский,1,5,1500.0,4,3,1,1,75.0,4,4,1503.40
Город Минусинск,0,0,0.0,0,0,0,0,0.0,0,0,0.0
Округ Минусинский,7,7,1225.0,2,2,0,0,0.0,3,3,5116.0
ИТОГО ПО ГУБЕРНИИ,20,23,13106.96,21,56,12,41,14275.23,28,34,8867.0
