Назначение налога,Категория плательщиков,Недоимка на начало года (руб.коп),Оклад на начало года (руб.коп),Причислено недоимок (руб.коп),Исключено недоимок (руб.коп),Исключено оклада (руб.коп),Взыскано недоимок (руб.коп),Взыскано оклада (руб.коп),Осталось к 1871 г.: Недоимка (руб.коп),Осталось к 1871 г.: Оклад (руб.коп)
Половинно-оброчная подать,Переселенцы Велико-Российских губ.,901.20,1264.80,113.98,78.20,4.88,182.41,828.28,708.94,391.40
Однорублевый сбор,Бывшие помещичьи крестьяне,7.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
Подати взамен подушных,Кочевые и ясачные инородцы,0.0,1980.0,0.0,0.0,0.0,0.0,1980.0,0.0,0.0
Общественный сбор,Государственные крестьяне,2486.68,8469.78,78.97,8.92,184.50,846.09,4426.61,1662.91,984.68
Общественный сбор,Прочие податные сословия,82.01,807.78,0.0,1.18,2.48,10.66,471.0,71.20,34.98
На обеспечение прод.,Государственные крестьяне,1991.0,0.0,0.0,13.40,0.0,280.39,0.0,1708.0,0.0
На обеспечение прод.,Прочие податные сословия,1902.71,0.0,0.0,214.45,0.0,206.64,0.0,1624.70,0.0
На межевание земель,Государственные крестьяне,1286.80,2734.89,40.28,42.0,78.32,334.47,2266.75,917.86,430.11
На межевание земель,Прочие податные сословия,88.97,285.89,0.0,0.0,0.0,0.0,240.95,33.0,12.4
На пожарные случаи,Государственные крестьяне,1836.85,5646.82,80.88,87.13,39.71,868.81,3044.76,1220.87,612.37
На пожарные случаи,Прочие податные сословия,84.17,144.28,2.67,3.0,7.45,394.77,83.0,78.0,47.82
Экономические суммы,Поселенцы полн. и полов. окладов,9405.29,2669.85,129.47,993.63,288.18,827.81,467.18,8213.69,1445.66
 Сельская врачебная часть,С податных лиц,5444.76,9487.93,170.88,857.28,329.66,1984.83,6781.17,3380.69,2877.47
