Отделение уложения,Род преступления или проступка,Всего подсудимых (Ж),Всего подсудимых (Дворян потомств. М),Всего подсудимых (Дворян потомств. Ж)
Отделение I,Об отступлении от веры и постановлений церкви,2,0,0
Отделение I,О святотатстве (ст. 258-269),2,0,0
Отделение IV,О преступлениях против государственной службы,0,5,0
Отделение VI,О нарушении уставов монетных (ст. 608-650),4,0,0
Отделение VII,О проступках против народного здравия (ст. 1044-115),1,0,0
Отделение IX,О смертоубийстве (ст. 1998-2020),27,0,0
Отделение IX,О самоубийствах (ст. 2021-2025),2,0,0
Отделение IX,О нанесении увечий и ран (ст. 2026-2047),4,1,0
Отделение IX,О личных оскорблениях (ст. 2086-2094),2,0,0
Отделение X,О преступлениях против брачного союза (ст. 2118-2156),2,0,0
Отделение X,О преступлениях детей против родителей (ст. 2162-2165),4,0,0
Отделение XI,О зажигательстве (ст. 2185-2195),6,0,0
Отделение XI,О разбое (ст. 2208-2217),2,0,0
Отделение XI,О грабеже (ст. 2218-2224),8,0,0
Отделение XI,О воровстве-краже (ст. 2225-2251),11,0,0
Отделение XI,О присвоении чужого движимого имущества (ст. 2272),1,0,0
ИТОГО ПО ВСЕМ СТАТЬЯМ,Зафиксировано подсудимых за год,76,4,0
