Территория,Лошадей (вычислено),Крупного рогатого скота,Овец,Свиней,Коз,Оленей,Собак для езды,Всего в городах и округах
Город Красноярск,1423,1052,337,143,110,1,0,3066
Округ Красноярский,62635,5336,29552,18196,1148,0,0,116867
Город Канск,2214,2121,879,397,84,0,0,5695
Округ Канский,67755,6545,42972,17207,491,82,0,135052
Троицкий солеваренный завод,87,54,0,0,0,0,0,141
Город Енисейск,602,498,72,33,0,0,0,1205
Округ Енисейский,850,662,10,15,6,0,8,1551
Частные золотые промыслы (Северной системы),50698,5315,16454,6353,31,4215,0,83066
Частные золотые промыслы (Южной системы),1991,1087,36,12,1,121,0,3248
Город Туруханск,611,112,17,41,0,0,0,781
Туруханский край,81,93,15,0,0,0,40,229
Город Ачинск,522,804,0,0,0,22522,592,24440
Округ Ачинский,2541,653,242,256,19,0,0,3711
Город Минусинск,98841,6983,61658,19289,668,0,0,187439
Округ Минусинский,3265,4816,7090,50,225,0,0,15446
Частные золотые промыслы (Ачинского и Минусинского),240184,28637,240142,19199,4920,0,0,533082
Всего по губернии,424,93,34,8,13,0,0,572
ИТОГО ПО ГУБЕРНИИ,621303,1851,399510,81199,7716,26941,640,1115591
