Род преступления или проступка,Дворян личных (М),Почетных граждан и купцов (Ж),Мещан (М),Мещан (Ж),Крестьян (М),Крестьян (Ж),Военного сословия (М),Военного сословия (Ж),Инородцев (М),Инородцев (Ж),Поселенцев (М),Поселенцев (Ж),Ссыльно-каторжных (М)
Об отступлении от веры и церкви,0,0,0,0,5,2,0,0,3,2,2,0,0
О святотатстве (ст. 258-269),0,0,1,0,5,0,0,0,0,0,2,0,0
О самовольном присвоении власти,0,0,0,0,0,0,0,0,1,0,0,0,0
О похищении бумаг и уничтожении знаков,0,0,0,0,0,0,0,0,0,0,1,0,0
О взломе тюрем и уводе находящихся под стражей,0,0,0,0,0,0,0,0,0,0,2,0,0
О преступлениях по службе государственной,10,0,0,5,8,0,12,0,0,0,0,0,0
О проступках против земских повинностей,0,0,0,0,1,0,0,0,0,0,0,0,0
О нарушении уставов монетных (фальшивомонетничество),0,0,6,3,18,3,0,0,0,1,1,2,0
О нарушении постановлений по питейному сбору,0,0,0,3,0,0,0,0,0,0,2,0,0
О проступках против народного здравия,0,0,0,0,1,0,0,0,0,0,0,0,0
О возбуждении к начатию ложных исков,0,0,1,0,0,0,0,0,0,0,0,0,0
О бродяжестве и укрывательстве беглых,0,0,4,0,0,0,0,0,6,0,21,0,0
О противозаконном выделывании оружия и пороха,0,0,6,0,0,0,0,0,0,0,1,1,0
О преступлениях против нравственности,0,0,2,0,0,0,0,0,0,0,1,0,0
О нарушении правил предосторожности от пожаров,0,0,0,0,2,0,0,0,0,0,2,0,0
О смертоубийстве (ст. 1998-2020),0,0,17,4,25,12,6,5,5,6,9,2,2
О самоубийствах (ст. 2021-2025),0,0,0,0,1,0,0,0,0,0,0,0,0
О нанесении ран и увечий (ст. 2026-2047),1,0,15,1,26,5,12,0,2,0,1,1,0
О преступлениях против чести женщин,0,0,3,0,5,0,0,0,4,0,2,0,0
О личных оскорблениях (ст. 2086-2094),1,0,6,1,4,0,0,0,2,0,1,1,0
О противозаконном задержании и заключении,0,0,0,0,2,0,0,0,0,0,1,0,0
О преступлениях против брачного союза,0,0,1,1,1,0,0,0,0,0,1,0,0
О преступлениях детей против родителей,0,0,2,1,6,0,0,0,0,0,0,0,0
О насильственном завладении чужим имуществом,0,0,0,0,1,0,0,0,3,0,3,0,0
О зажигательстве (ст. 2185-2195),0,0,1,1,4,1,0,0,0,0,2,0,0
О разбое (ст. 2208-2217),0,0,3,0,12,1,0,0,4,0,8,0,0
О грабеже (ст. 2218-2224),0,0,5,1,15,2,5,0,8,2,8,0,0
О воровстве-краже (ст. 2225-2251),0,0,28,2,55,6,16,0,37,2,30,1,0
О воровстве-мошенничестве,0,0,0,0,1,0,0,0,0,0,1,0,0
О присвоении чужого имущества,0,0,0,0,2,0,0,0,0,0,1,0,0
О преступлениях против договоров,0,0,4,0,6,0,0,0,3,0,2,0,0
По происшествиям нечаянным,0,0,0,0,1,0,0,0,1,0,0,0,0
ИТОГО,11,7,105,20,199,56,41,5,80,15,93,9,2
