Род преступления или проступка,Моложе 17 лет (М),17-20 лет (М),17-20 лет (Ж),21-30 лет (М),21-30 лет (Ж),31-40 лет (М),31-40 лет (Ж),41-50 лет (М),41-50 лет (Ж),51-60 лет (М),Свыше 60 лет (М)
Об отступлении от веры и церкви,0,2,1,2,1,1,0,0,0,0,0
О святотатстве (ст. 258-269),0,1,0,5,2,6,0,0,0,0,0
О самовольном присвоении власти,0,0,0,0,0,1,0,0,0,0,0
О похищении бумаг и уничтожении знаков,0,0,0,1,0,0,0,0,0,0,0
О взломе тюрем,0,0,0,1,0,3,0,0,0,0,0
О преступлениях по службе государственной,0,0,0,0,0,12,0,25,0,1,0
О проступках против земских повинностей,0,0,0,0,0,1,0,0,0,0,0
О нарушении уставов монетных,0,0,0,8,2,5,2,12,0,0,0
О нарушении постановлений по питейному сбору,0,0,0,4,0,2,0,0,0,0,0
О проступках против народного здравия,0,0,0,0,1,0,0,0,0,0,0
О возбуждении к ложным искам,0,0,0,0,0,1,0,0,0,0,0
О бродяжестве и укрывательстве,0,0,0,5,0,8,0,8,0,8,2
О противозаконном выделывании оружия,3,3,0,1,0,1,0,0,0,0,0
О преступлениях против нравственности,0,0,0,0,0,1,0,0,0,0,0
О нарушении правил от пожаров,0,0,0,0,0,3,0,1,0,0,0
О смертоубийстве (ст. 1998-2020),0,4,0,15,10,26,15,20,2,1,0
О самоубийствах (ст. 2021-2025),0,0,0,1,0,0,0,0,0,0,0
О нанесении ран и увечий (ст. 2026-2047),0,2,1,12,2,12,2,15,0,1,3
О преступлениях против чести женщин,0,1,0,5,0,5,0,3,0,0,0
О личных оскорблениях (ст. 2086-2094),0,0,0,5,1,6,1,4,0,1,0
О противозаконном задержании,0,0,0,1,0,0,0,0,0,0,0
О преступлениях против союза брачного,0,0,0,1,0,1,0,0,0,0,0
О преступлениях детей против родителей,3,5,0,1,0,0,0,0,0,0,0
О насильственном завладении имуществом,0,0,0,1,2,1,0,0,0,0,0
О зажигательстве (ст. 2185-2195),0,0,0,0,0,1,1,3,1,0,1
О разбое (ст. 2208-2217),0,1,0,14,2,16,0,5,0,0,0
О грабеже (ст. 2218-2224),0,6,0,7,5,18,5,8,0,0,0
О воровстве-краже (ст. 2225-2251),0,15,3,25,5,56,3,56,0,6,8
О воровстве-мошенничестве,0,0,0,1,0,0,0,0,0,0,0
О присвоении чужого имущества,0,0,0,1,0,0,0,0,0,0,0
О преступлениях против договоров,0,0,0,8,0,4,0,2,0,1,0
По происшествиям нечаянным,0,0,0,0,0,1,0,0,0,0,0
ИТОГО,6,41,5,124,37,190,29,142,5,28,14
