Кому отводились квартиры?,Количество полугодовых квартир,Стоимость годовой квартиры (руб),Итого расходы (руб)
Штаб-Офицерам (семейным),10,200,1000
Штаб-Офицерам (холостым),2,160,160
Обер-Офицерам (семейным),44,140,3080
Обер-Офицерам (холостым),22,100,1100
Воинскому Священнику (семейному),2,0,140
Повивальным бабкам по холостому положению,4,100,200
Полицейским приставам (семейным),2,0,140
Полицейским приставам (холостым),2,0,100
Помощникам приставов (семейным),4,140,280
Помощникам приставов (холостым),4,100,200
Канцелярии Жандармского Управления,2,0,300
Сотенным Управлениям Енисейского казачьего полка,6,100,300
Станичному Управлению 1-й сотни казачьего полка,2,0,100
Проезжающим Штаб и Обер Офицерам,6,100,300
Оспопрививателям городским,4,18,36
Нижним воинским чинам (семейным),174,18,3132
Нижним воинским чинам (холостым),68,12,816
ИТОГО,358,0,14564
