Регион,Каменных домов или дворов,Деревянных домов или дворов,Всего жилых домов
Город Красноярск,75,1635,1710
Округ Красноярский,1,12825,12826
Город Енисейск,30,567,597
Округ Енисейский,1,7267,7268
Город Канск,0,437,437
Округ Канский,0,9819,9819
Город Ачинск,0,609,609
Округ Ачинский,2,10949,10951
Город Минусинск,3,631,634
Округ Минусинский,3,17014,17017
Город Туруханск,0,59,59
Туруханский край,0,376,376
Частные золотые промыслы (Северной системы),0,391,391
Частные золотые промыслы (Южной системы),0,314,314
Частные золотые промыслы (Канского округа),0,31,31
Частные золотые промыслы (Ачинского и Минусинского),0,108,108
ИТОГО ПО ГУБЕРНИИ,115,63048,63163
