Сословная группа,Енисейский округ (Северная система) М,Енисейский округ (Северная система) Ж,Енисейский округ (Южная система) М,Енисейский округ (Южная система) Ж,Ачинский и Минусинский округа М,Ачинский и Минусинский округа Ж,Канский округ М,Канский округ Ж
Дворяне потомственные,1,1,10,15,2,0,1,2
Дворяне личные,6,9,8,4,0,0,1,0
Духовенство белое (священнослужители),6,8,10,11,0,0,0,0
Почетные граждане потомственные,3,5,1,1,0,0,0,0
Граждане личные,1,0,0,0,0,0,0,0
Купцы,37,23,55,12,8,2,5,0
Мещане,987,180,237,56,47,12,57,0
Крестьяне государственные,4080,361,634,81,361,35,225,25
Крестьяне временно-обязанные,128,33,10,1,0,0,0,0
Отставные нижние чины и их семьи,78,0,54,0,25,0,12,0
Солдатские сыновья,22,0,4,0,0,0,0,0
Нижние чины на казенном содержании,15,0,0,0,0,0,0,0
Инородцы оседлые,47,7,5,6,3,0,4,0
Инородцы кочующие,7,0,1,1,1,0,0,0
Инородцы оседлые (кат. 2),114,7,12,0,23,1,2,0
Инородцы кочующие (кат. 2),21,12,1,0,2,0,0,0
Разночинцы,0,0,0,0,1,1,0,0
Поселенцы всех разрядов,3146,202,1108,143,155,7,167,12
ИТОГО ПО СИСТЕМАМ ПРОМЫСЛОВ,8699,848,2150,330,628,58,474,39
ОБЩИЙ ИТОГ (М+Ж),9547,,2480,,686,,513,
