Территория,Каменных нежилых зданий,Деревянных нежилых зданий,Всего нежилых зданий
Город Красноярск,39,150,189
Округ Красноярский,0,549,549
Город Енисейск,8,73,81
Округ Енисейский,0,421,421
Город Канск,1,84,85
Округ Канский,0,200,200
Город Ачинск,2,110,112
Округ Ачинский,0,346,346
Город Минусинск,9,141,150
Округ Минусинский,0,541,541
Город Туруханск,0,11,11
Туруханский край,0,22,22
Частные золотые промыслы (Северной системы),0,123,123
Частные золотые промыслы (Южной системы),0,93,93
Частные золотые промыслы (Канского округа),0,15,15
Частные золотые промыслы (Ачинского и Минусинского),0,37,37
ИТОГО ПО ГУБЕРНИИ,59,2946,3005
