Сословие,В городах (М),В городах (Ж),В округах (М),В округах (Ж),Всего в губернии (М),Всего в губернии (Ж)
Дворяне потомственные,223,189,72,73,295,262
Дворяне личные,556,550,102,101,658,651
Духовенство монашествующее,4,28,2,0,6,28
Духовенство белое (священнослужители),114,144,419,494,533,638
Духовенство белое (церковнослужители),34,22,305,303,339,325
Воспитанники духовного училища,154,0,0,0,154,0
Римско-Католическое духовенство,1,0,0,0,1,0
Лютеранское духовенство,0,0,1,2,1,2
Почетные потомственные граждане,31,29,11,9,42,38
Граждане личные,44,37,2,3,46,40
Купцы,783,722,338,266,1121,988
Мещане,7163,6651,2096,968,9259,7619
Крестьяне государственные,1439,984,108243,101171,109682,102155
Временно-обязанные крестьяне,60,18,234,127,294,145
Регулярные войска,1977,288,504,108,2481,396
Иррегулярные войска (казаки),494,536,6082,5505,6576,6041
Бессрочно-отпускные военные чины,101,44,1231,583,1332,627
Военные чины в продолжительном отпуске,7,2,327,143,334,145
Отставные нижние чины и их семьи,212,534,1662,2990,1874,3524
Солдатские сыновья,188,0,597,0,785,0
Нижние чины на казенном содержании,7,0,4,0,11,0
Инородцы оседлые,44,20,3280,3030,3324,3050
Инородцы кочующие,0,0,16865,16639,16865,16639
Инородцы бродячие,0,0,2962,2685,2962,2685
Иностранные подданные,3,3,0,0,3,3
Разночинцы,65,50,138,98,203,148
Поселенцы всех разрядов,2139,1243,42569,19952,44735,21195
Освобожденные от каторжных работ,0,4,645,437,645,441
Ссыльно-каторжные,0,0,246,50,246,50
Прибывшие по воле в семействах каторжных,0,0,115,105,115,105
ИТОГО ПО ГУБЕРНИИ,15843,12098,189079,155842,204922,167940
