Тип производства,Число фабрик и заводов,Сумма производительности (руб.коп),Число рабочих
Салотопенные,8,12070.0,18
Мыловаренные,3,1500.0,5
Кожевенные,59,61218.5,121
Воскобойные,2,26892.0,7
Бумажные,1,0.0,0
Стеклоделательные,1,1000.0,21
Маслобойные,3,1480.0,8
Канатные,6,5980.0,13
Винокуренные,14,859321.75,702
Пивоваренные,1,4000.0,4
Железо-делательные и чугунно-литейные,4,198774.1,600
Кирпичные,28,25415.0,114
Гончарные,12,1825.0,17
Солеваренные,1,80000.0,228
Папиросные,7,18700.0,21
Экипажные,5,10800.0,36
ИТОГО ПО ГУБЕРНИИ,155,1303616.85,1915
