Род податей,Начислено: Недоимок (руб.коп),Начислено: Оклада (руб.коп),Исключено: Недоимок (руб.коп),Исключено: Оклада (руб.коп),Взыскано: Недоимок (руб.коп),Взыскано: Оклада (руб.коп),Осталось к 1871 г.: Недоимок (руб.коп),Осталось к 1871 г.: Оклада (руб.коп),Осталось к 1871 г.: Всего (руб.коп)
Обброчная подать с гос. крестьян,134617.23,251581.30,7491.38,2111.10,49203.95,197753.68,78659.61,52822.75,131462.54
С поселенцев полного оклада,51681.44,16296.58,6515.96,1754.87,3496.75,566.26,46128.80,12500.61,58429.41
С поселенцев половинного оклада,26923.83,10795.75,4251.55,1815.15,2592.41,2507.25,20282.74,6641.54,26924.08
С купцов и мещан в селениях,85.46,9.90,6.17,14.37,8.34,44.0,69.90,90.0,108.81
Подушная подать с гос. крестьян,53999.98,52870.50,4950.15,861.75,20140.33,67854.21,30070.62,15288.08,45358.71
С бывших помещичьих крестьян,79.81,0.0,0.0,0.0,0.0,0.0,79.81,0.0,79.81
С поселенцев полного оклада,18512.99,8552.50,1825.55,582.20,1268.39,125.5,15688.58,5987.79,17646.08
С поселенцев половинного оклада,7685.45,5532.50,1365.41,698.12,992.74,1158.62,5568.47,1818.84,7187.32
С купцов и мещан в селениях,29.70,31.50,1.58,5.40,3.15,13.50,25.20,12.60,37.80
Крестьян вышедших из крепостной зав.,4.50,9.0,0.0,0.0,4.50,4.50,4.50,4.50,4.50
Мещан городских,19057.45,17071.20,382.80,187.79,110.40,11075.22,4060.46,7928.44,15285.15
Оседлых инородцев,381.50,1454.40,2100.67,8323.49,2288.92,35865.41,75546.68,17162.28,54486.46
