Город или округ,По общественным сборам (руб.коп),По сбору на продовольствие (руб.коп),По земским сборам (руб.коп),По выкупным платежам (руб.коп),По налогу с недвижимых имуществ (руб.коп),По рассрочке недоимок (руб.коп),По разным взысканиям (руб.коп),Всего недоимок (руб.коп)
Город Красноярск,0.0,0.0,4050.41,0.0,0.0,0.0,0.0,10540.92
Город Енисейск,0.0,49.89,3159.58,0.0,0.0,0.0,0.0,8094.59
Город Канск,0.0,0.0,860.50,0.0,0.0,0.0,0.0,2748.18
Город Ачинск,0.0,0.0,4672.49,0.0,0.0,0.0,0.0,9607.82
Город Минусинск,0.0,0.0,708.54,0.0,0.0,0.0,0.0,3920.94
Округ Красноярский,784.10,571.56,30145.21,0.0,0.0,0.0,0.0,125087.29
Округ Енисейский,67.52,559.99,10519.0,0.0,0.0,0.0,0.0,36755.11
Округ Канский,564.08,1046.12,29885.16,0.0,0.0,0.0,0.0,107419.18
Округ Ачинский,521.11,714.20,29064.16,0.0,0.0,0.0,0.0,90146.88
Округ Минусинский,667.07,446.47,30556.47,0.0,0.0,0.0,0.0,85728.81
