Город или округ,Число пожаров за год,Число погоревших дворов,Сумма убытков (руб.коп),Причина: от молнии,Причина: от дурного устройства печей и труб,Причина: от неосторожности,Причина: от поджога,Причина: от других причин
Город Красноярск,2,2,650.0,0,0,1,0,1
Округ Красноярский,29,54,19896.0,0,0,17,2,10
Город Енисейск,2,3,2000.0,0,0,2,0,0
Округ Енисейский,17,60,31097.68,0,2,5,3,7
Город Канск,0,0,0.0,0,0,0,0,0
Округ Канский,8,9,2246.11,0,2,2,0,4
Город Ачинск,1,1,1500.0,0,0,1,0,0
Округ Ачинский,10,13,4201.14,1,0,6,2,1
Город Минусинск,0,0,0.0,0,0,0,0,0
Округ Минусинский,12,12,6747.0,0,1,4,1,6
ИТОГО ПО ГУБЕРНИИ,81,154,68337.93,1,5,38,8,29
