Категория получателей квартир,Количество полугодовых квартир,Срок отвода,Стоимость годовой квартиры (руб),Итого расходы (руб)
Штаб-Офицерам (семейным),10,Полгода,200,1000
Штаб-Офицерам (холостым),2,Полгода,160,160
Обер-Офицерам (семейным),44,Полгода,140,3080
Обер-Офицерам (холостым),22,Полгода,100,1100
Воинскому священнику (семейному),2,Полгода,0,140
Повивальным бабкам (холостым),4,Полгода,100,200
Полицейским приставам (семейным),2,Полгода,0,140
Полицейским приставам (холостым),2,Полгода,0,100
Помощникам приставов (семейным),4,Полгода,140,280
Помощникам приставов (холостым),4,Полгода,100,200
Канцелярии Жандармского управления,2,Полгода,0,300
Сотенным управлениям Енисейского казачьего полка,6,Полгода,100,300
Станичному управлению 1-й сотни казачьего полка,2,Полгода,0,100
Проезжающим Штаб и Обер Офицерам,6,Полгода,100,300
Городским оспопрививателям,4,Полгода,18,36
Нижним воинским чинам (семейным),174,Полгода,18,3132
Нижним воинским чинам (холостым),68,Полгода,12,816
ИТОГО,358,Полгода,0,14564
