Название городов и округов,Детоубийство новорожденных (дел),Смертоубийство (дел),Детоубийство (жертв М),Детоубийство (жертв Ж),Смертоубийство (жертв М),Смертоубийство (жертв Ж),Итого жертв насилия: М,Итого жертв насилия: Ж,Самоубийцы: М,Самоубийцы: Ж,Скоропостижно от болезней: М,Скоропостижно от болезней: Ж,Скоропостижно от пьянства: М,Скоропостижно от пьянства: Ж,Умершие от неизвестных причин: М,Умершие от неизвестных причин: Ж,Найденные мертвые тела: М,Найденные мертвые тела: Ж,Случайная смерть: Громом (М),Случайная смерть: Громом (Ж),Случайная смерть: Давление/падение (М),Случайная смерть: Давление/падение (Ж),Случайная смерть: Пожар (М),Случайная смерть: Пожар (Ж),Случайная смерть: Угар (М),Случайная смерть: Угар (Ж),Случайная смерть: Замерзшие (М),Случайная смерть: Замерзшие (Ж),Случайная смерть: Утонувшие (М),Случайная смерть: Утонувшие (Ж),Случайная смерть: Звери (М),Случайная смерть: Звери (Ж),Случайная смерть: Иные случаи (М),Случайная смерть: Иные случаи (Ж),Всего случайно умерших: М,Всего случайно умерших: Ж,Итого насильственная и случайная смерть: М,Итого насильственная и случайная смерть: Ж
"В городе Красноярске",0,2,0,0,3,0,3,0,1,0,0,0,1,0,4,0,12,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,3,0,9,0,80,0
"Округе оного",0,32,0,0,33,3,33,3,1,0,0,0,2,1,12,0,23,0,0,0,2,0,0,0,0,1,9,1,12,3,0,0,32,3,55,8,125,12
"Городе Енисейске",0,6,0,0,3,3,3,3,0,0,0,0,1,1,3,2,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,5,1,12,7
"Округе оного",0,5,0,0,6,0,6,0,0,0,1,0,4,1,1,1,2,0,1,0,0,0,1,0,1,0,5,3,6,4,0,0,12,0,26,7,38,9
"Городе Канске",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"Округе оного",0,10,0,0,7,4,7,3,3,0,2,1,5,2,9,4,9,3,0,0,6,0,0,0,1,0,1,0,9,0,0,0,14,4,31,4,66,17
"Городе Ачинске",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"Округе оного",0,4,0,0,3,1,3,1,1,0,1,0,5,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,4,1,1,0,2,0,11,1,24,2
"Городе Минусинске",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Округе оного",1,18,0,1,16,5,17,6,10,2,4,0,10,1,10,2,8,1,1,1,8,0,0,0,2,0,2,0,12,2,0,0,18,3,43,7,101,19
"Итого в губернии",1,77,0,1,71,16,71,16,16,2,8,1,29,7,43,9,54,4,4,1,20,0,1,0,4,1,22,5,48,10,1,0,81,10,181,28,402,67
