Территория,Зима: Пожаров,Зима: Погоревших дворов,Зима: Убыток (руб),Весна: Пожаров,Весна: Погоревших дворов,Весна: Убыток (руб),Лето: Пожаров,Лето: Погоревших дворов,Лето: Убыток (руб),Осень: Пожаров,Осень: Погоревших дворов,Осень: Убыток (руб),Всего за год: Пожаров,Всего за год: Погоревших дворов,Всего за год: Убыток (руб),Причина: От молнии,Причина: От плохих печей/труб,Причина: От неосторожности,Причина: От поджога,Причина: От других причин
"В городе Красноярске",1,1,450,1,1,100,1,1,50,1,1,300,4,4,900,0,0,1,0,3
"Округе оного",0,0,0,1,2,285,1,1,40,4,12,5825,6,15,6150,0,0,0,0,6
"Городе Енисейске",1,1,6000,0,0,0,0,0,0,0,0,0,1,1,6000,0,1,0,0,0
"Округе оного",6,5,1863,1,1,150,2,28,15025,7,4,2083,16,38,19121,0,0,8,2,6
"Городе Канске",0,0,0,0,0,0,0,0,0,1,1,2500,1,1,2500,0,0,0,0,1
"Округе оного",1,1,400,1,1,77.9,3,2,859.6,8,10,2419.1,13,14,3756.6,0,0,11,0,2
"Городе Ачинске",2,2,1515,0,0,0,0,0,0,0,0,0,2,2,1515,0,0,0,0,2
"Округе оного",0,0,0,0,0,0,1,1,80,0,0,0,1,1,80,0,0,0,0,1
"Городе Минусинске",2,2,725,1,1,2000,1,1,800,0,0,0,4,4,3525,0,1,0,0,3
"Округе оного",2,2,500,5,5,36394.2,5,5,525,3,3,680,15,15,38099.2,0,3,6,2,4
"Всего в губернии",15,14,11453,10,11,39007.1,14,39,17379.6,24,31,13807.1,63,95,81646.8,0,5,26,4,28
