Территория,Число браков,Законно родилось: Муж,Законно родилось: Жен,Законно родилось: Всего,Не законно родилось: Муж,Не законно родилось: Жен,Не законно родилось: Всего,Всего родилось: Муж,Всего родилось: Жен,Всего родилось: Всего,Умерло: Муж,Умерло: Жен,Умерло: Всего,Естественный прирост (+) или убыль (-)
"г. Красноярск",117,225,189,414,41,37,78,266,226,492,446,238,684,-192
"г. Енисейск",43,140,109,249,43,26,69,183,135,318,251,178,429,-111
"г. Канск",25,75,70,145,15,14,29,90,84,174,124,79,203,-29
"г. Ачинск",30,58,57,115,4,9,13,62,66,128,76,53,129,-1
"г. Минусинск",39,111,117,228,12,13,25,123,130,253,176,150,326,-73
"г. Туруханск (заштатный)",11,12,10,22,1,4,5,13,14,27,7,5,12,15
"Итого в городах",265,621,552,1173,116,103,219,737,655,1292,1080,703,1783,-391
"Красноярский округ",477,1198,1124,2322,109,117,226,1307,1241,2548,1462,1048,2510,38
"Енисейский округ",333,1052,982,2034,123,123,246,1175,1005,2280,1166,804,1970,310
"Канский округ",559,1314,1274,2588,131,135,266,1445,1409,2854,1342,1148,2490,364
"Ачинский округ",631,1591,1547,3138,128,119,247,1719,1666,3385,1320,1164,2484,901
"Минусинский округ",970,2656,2358,5014,147,142,290,2803,2501,5304,1562,1276,1838,2466
"Туруханский край",39,79,73,152,5,11,16,84,84,168,26,19,45,123
"Итого в округах",3009,7890,7358,15248,643,648,1291,8533,8006,16539,6878,5459,12337,4202
"Всего по губернии",3274,8511,7910,16421,759,751,1510,9270,8661,17931,7958,6162,14120,3811
