Статья сбора,Следовало недоимок (руб),Следовало недоимок (коп),Следовало оклада (руб),Следовало оклада (коп),Вновь недоимок (руб),Вновь недоимок (коп),Причислено оклада (руб),Причислено оклада (коп),Исключено недоимок (руб),Исключено недоимок (коп),Исключено оклада (руб),Исключено оклада (коп),Взыскано недоимок (руб),Взыскано недоимок (коп),Взыскано оклада (руб),Взыскано оклада (коп),Осталось недоимок (руб),Осталось недоимок (коп),Осталось оклада (руб),Осталось оклада (коп),Осталось ВСЕГО (руб),Осталось ВСЕГО (коп)
"Оброчные с гос. крестьян",141511,54.25,256285,90,6457,70.75,2879,46,2155,49.5,5252,15.75,40814,91.5,198505,13.25,105000,85.75,57410,7,162410,90.75
"Оброчные с поселенцев полн. оклада",79650,84.5,16955,12,5755,3.75,1897,5,529,9.5,466,15.25,520,55.5,14608,70.25,75628,25,14608,70.5,88256,95.25
"Оброчные с поселенцев половин. оклада",51041,4,11596,75,16797,67.75,6199,55.5,1450,70,812,2.5,7349,21.5,8588,90,59058,80.75,12595,16,51455,96.5
"Оброчные с купцов и мещан в селениях",154,98.25,75,98,-,-,-,-,-,-,26,67.25,26,67.25,12,15,108,51,35,62.5,145,9.5
"Оброчные с оседлых инородцев",888,28.75,4416,88,-,-,-,-,58,27.25,15,50.25,195,21,3159,99.25,654,80,1241,88.25,1898,18.25
"Оброчные с переселенцев",1905,84,1617,-,-,-,-,-,1,29.25,66,56,72,52.5,290,45,1832,22.25,1260,18,5092,40.25
"Подушные с гос. крестьян",44808,41.75,84181,50,561,99,944,10,678,44,1512,17.25,12951,74.75,64787,70.5,51760,22.75,18825,72,50585,94.75
"Подушные с поселенцев полн. оклада",21805,94.5,5569,20,1255,2.5,625,70,167,72.25,166,45.75,1561,4,1251,78.25,21312,24.25,4794,71,36106,95.25
"Подушные с поселенцев половин. оклада",8512,41.5,3795,50,5445,19,2058,60,467,42.5,252,20,5519,75.75,1751,95,10168,42.75,5829,77,15998,95.5
"Подушные с купцов и мещан в селениях",47,25,24,50,-,-,-,-,-,-,-,-,6,75,12,15,40,50,12,15,52,65
"Подушные с мещан и цеховых",22995,19,17616,-,218,66.25,441,60,50,40,62,40,8025,97.75,8155,57.75,15159,8.5,9841,82.25,24981,29.75
"Подушные с бывш. помещичьих крестьян",79,81.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,81.5,-,-,79,81.5
"Подушные с крестьян из крепост. зав.",4,50,9,-,-,-,-,-,-,-,-,4,50,4,50,-,-,4,50,4,50
"Подушные с оседлых инородцев",222,52.25,1450,80,-,-,-,-,25,40,1225,55,25,40,1225,55,199,12.5,225,45,424,57.5
"Пошлина с кочевых инородцев",25,39,1415,54,-,-,15025,84.75,5496,85,6605,41.5,77554,2,287524,91.75,29898,1.25,124485,24.5,428470,25.75
"Сбор общественный с гос. крестьян",3071,82.25,5976,94,24,86,65,14,49,17,199,95.5,639,45.75,4165,79,2408,7.5,1276,55.5,5684,45
"Сбор общественный с проч. сословий",98,1,505,98,5,76,-,-,-,-,35,-,2,2.5,487,55,101,74.75,18,12,110,86.75
"На нар. продовольствие с гос. крест.",1382,73.5,-,-,49,-,-,-,-,7,64.5,-,-,154,2.5,-,-,1225,56.5,-,-,1221,56.5
"На нар. продовольствие с проч. сосл.",1289,81.25,-,-,82,97.25,-,-,-,17,77.5,-,-,59,47.25,-,-,1295,5.75,-,-,1295,5.75
"На межевание земель с гос. крестьян",1629,27.25,2788,47,11,74,51,61.5,21,98,42,20.75,230,85.5,2216,11.75,1388,17.75,561,76,1949,93.75
"На межевание земель с прочих сосл.",48,97,252,99,90,-,-,-,-,16.25,-,1,6.5,245,75,48,80.25,9,7.25,57,87.5
"На пожарный случай с гос. крестьян",2346,55.25,5717,96,15,62,41,66,51,60,55,18,590,9.5,3002,56,1940,47.75,701,88,2642,55.75
"На пожарный случай с прочих сосл.",156,91,112,60,-,-,-,-,1,22,1,22,8,22.5,65,45.75,147,46.75,45,94.25,195,41
"Земский сбор: торговые свидетельства",-,2167,-,-,-,761,75,-,-,2167,-,-,-,761,75,-,-,-,-,-,-
"Земский сбор: с податных лиц",71555,11.25,79706,5,1615,55.25,1422,1.5,790,67.25,14920,25.5,15561,58.75,52266,5.25,58596,58.75,15941,75.75,72558,14.25
"Сельская врачебная часть",7590,15.25,9681,65,149,68,156,28,225,51.5,524,75,1569,99.5,6416,95.5,5940,50.75,2896,24.25,8842,54.75
