Раздел,Род преступлений,Число преступлений,Осужденных (Всего),Дворян личных и потомств,Купцов и почет. гражд,Мещан (Всего),Крестьян (Всего),Военного сословия,Инородцев,Поселенцев,Ссыльно-каторжных,Возраст до 20 лет,Возраст 21-40 лет,Возраст старше 41 года
"I","Об отступлении от веры и постановлений церкви",5,4,0,0,0,3,0,0,2,0,0,4,1
"III","О сопротивлении распоряжениям правительства",5,10,0,0,2,2,4,0,1,0,0,9,1
"III","Об оскорблении присутственных мест и чиновников",2,3,0,0,0,3,0,0,0,0,0,2,1
"III","О самовольном присвоении власти и подложных указах",3,3,0,0,0,3,0,0,0,0,0,2,1
"III","О похищении бумаг или вещей из присутственных мест",10,12,0,0,0,0,8,0,4,1,0,11,1
"III","О взломе тюрем, уводе и побеге находящихся под стражей",4,5,0,0,0,1,1,0,3,0,0,5,0
"IV","О преступлениях и проступках по службе гос. и обществ.",70,32,7,5,0,20,0,0,0,0,0,30,2
"VI","О нарушении уставов монетных",56,75,0,3,8,10,12,10,38,2,3,52,27
"VI","О нарушении постановлений по питейному сбору и акцизу",14,16,0,0,7,4,2,2,1,0,0,15,1
"VII","О преступлениях против ограждающих народное здравие",4,9,0,0,7,2,0,0,0,0,0,9,0
"VII","О лживых доносах и лжесвидетельстве",7,4,0,0,2,1,1,0,0,0,0,4,0
"VII","О бродяжестве, укрывательстве беглых",30,47,0,0,3,20,10,2,17,0,0,21,28
"VII","О противозаконном выделывании оружия или пороха",2,2,0,0,2,0,0,0,0,0,0,2,0
"VII","О преступлениях против общественной нравственности",2,3,0,0,0,0,0,0,3,0,0,3,0
"VII","О нарушении правил осторожности от пожаров",19,23,0,2,37,43,3,66,37,5,7,73,58
"VII","О преступлениях против законов о состояниях",2,3,0,0,23,31,17,13,3,0,0,44,33
"IV","О смертоубийстве",153,194,0,0,3,0,0,0,0,0,0,5,0
"IV","О нанесении увечья, ран и других повреждений",58,84,0,3,11,14,2,2,3,0,2,24,3
"IV","О произвольном оставлении человека в опасности",5,5,0,0,3,7,0,0,0,0,0,12,1
"IV","О преступлениях против чести целомудрия женщин",8,7,0,0,0,0,3,0,0,0,0,4,1
"IV","О личных оскорблениях",25,26,0,1,0,0,0,0,4,0,1,9,4
"IV","О противозаконном задержании и заключении",2,13,0,0,3,9,1,0,0,0,4,9,0
"IV","О нападении с насилием",1,1,0,0,0,0,0,0,0,0,0,1,0
"IV","Об угрозах",2,6,0,0,0,0,0,0,0,0,0,2,0
"X","О преступлениях против союза брачного",6,4,0,0,3,14,0,0,7,0,0,6,3
"X","О преступлении детей против родителей",16,12,0,0,5,4,0,0,6,3,0,12,0
"XI","О насильственном завладении недвижимым имуществом",1,1,0,0,2,9,3,1,52,17,0,37,19
"XI","О зажигательстве",18,22,0,0,43,58,25,0,73,7,3,188,15
"XI","О разбое",12,16,0,1,1,1,0,0,4,0,0,5,2
"XI","О грабеже",42,84,0,0,2,1,0,0,1,0,2,5,2
"XI","О воровстве-краже",183,206,0,0,0,4,2,0,2,0,1,7,4
"XI","О воровстве-мошенничестве",12,7,0,0,0,0,0,0,0,0,0,0,0
"XI","О присвоении вверенного чужого движимого имущества",6,4,0,0,0,0,0,0,0,0,0,0,0
"XI","О преступлениях по договорам и обязательствам",9,8,0,0,0,0,0,0,0,0,0,0,0
"Итого","Всего по губернии",794,951,7,14,168,281,140,102,269,35,15,699,195
