Территория,Округ или город,Род производства,Число заведений,Сумма производства (руб),Число рабочих
"Красноярск","Город","Салотопенные",3,6050,12
"Красноярск","Город","Мыловаренные",4,1200,20
"Красноярск","Город","Кожевенные",9,21200,36
"Красноярск","Город","Воскобелильные",1,12500,2
"Красноярск","Город","Маслобойные",2,1000,4
"Красноярск","Город","Канатные",2,1300,4
"Красноярск","Город","Винокуренные",3,96874,9
"Красноярск","Город","Пивоваренные",2,3100,6
"Красноярск","Город","Кирпичные",8,5200,16
"Красноярск","Город","Гончарные",3,300,6
"Красноярск","Город","Папиросные",3,4500,3
"Красноярск","Город","Экипажные",5,12600,10
"Красноярский округ","Округ","Кожевенные",1,100,2
"Красноярский округ","Округ","Стеклоделательные",1,2000,25
"Красноярский округ","Округ","Маслобойные",2,470,4
"Красноярский округ","Округ","Кирпичные",2,300,2
"Красноярский округ","Округ","Гончарные",2,830,7
"Енисейск","Город","Кожевенные",2,900,4
"Енисейск","Город","Воскобелильные",1,11400,4
"Енисейск","Город","Винокуренные",2,10400,3
"Енисейск","Город","Пивоваренные",1,1000,2
"Енисейск","Город","Кирпичные",2,8600,24
"Енисейский округ","Округ","Винокуренные",1,7293614,20
"Канск","Город","Салотопенные",1,3200,3
"Канск","Город","Мыловаренные",1,1000,2
"Канск","Город","Кожевенные",1,7000,4
"Канск","Город","Кирпичные",4,6000,10
"Канский округ","Округ","Кожевенные",1,830,4
"Канский округ","Округ","Винокуренные",4,37548651.5,238
"Канский округ","Округ","Солеваренные",1,6150276,298
"Ачинск","Город","Салотопенные",1,3800,2
"Ачинск","Город","Мыловаренные",1,1600,2
"Ачинск","Город","Кожевенные",2,3500,19
"Ачинск","Город","Маслобойные",1,1850,2
"Ачинск","Город","Кирпичные",1,350,5
"Ачинск","Город","Гончарные",1,200,3
"Ачинск","Город","Папиросные",1,1050,2
"Ачинский округ","Округ","Кожевенные",6,878750,14
"Ачинский округ","Округ","Маслобойные",2,345,4
"Ачинский округ","Округ","Канатные",2,770,4
"Ачинский округ","Округ","Винокуренные",3,81327329.25,392
"Ачинский округ","Округ","Кирпичные",1,200,6
"Ачинский округ","Округ","Гончарные",1,330,3
"Минусинск","Город","Салотопенные",2,5500,2
"Минусинск","Город","Мыловаренные",1,500,1
"Минусинск","Город","Кожевенные",6,5250,6
"Минусинск","Город","Маслобойные",3,1500,3
"Минусинск","Город","Канатные",1,200,2
"Минусинск","Город","Гончарные",3,280,3
"Минусинский округ","Округ","Кожевенные",11,31950,16
"Минусинский округ","Округ","Крупчатные",1,4658925,28
"Минусинский округ","Округ","Стеклоделательные",1,2303610.5,65
"Минусинский округ","Округ","Маслобойные",1,120,3
"Минусинский округ","Округ","Винокуренные",4,16292420.5,132
"Минусинский округ","Округ","Железоделательные",1,24109162,717
"Всего по губернии","Итого","Салотопенные",7,18550,19
"Всего по губернии","Итого","Мыловаренные",7,4300,25
"Всего по губернии","Итого","Кожевенные",39,795170,103
"Всего по губернии","Итого","Воскобелильные",2,24440,6
"Всего по губернии","Итого","Крупчатные",1,4658925,28
"Всего по губернии","Итого","Стеклоделательные",2,2503610.5,90
"Всего по губернии","Итого","Маслобойные",11,5285,20
"Всего по губернии","Итого","Канатные",5,2270,10
"Всего по губернии","Итого","Винокуренные",17,153189415.25,794
"Всего по губернии","Итого","Пивоваренные",3,4100,8
"Всего по губернии","Итого","Железоделательные",4,24109162,717
"Всего по губернии","Итого","Кирпичные",18,20650,63
"Всего по губернии","Итого","Гончарные",10,1940,22
"Всего по губернии","Итого","Солеваренные",1,6150276,298
"Всего по губернии","Итого","Папиросные",4,5550,5
"Всего по губернии","Итого","Экипажные",5,12600,10
