Территория,Оброчные подати (руб),Оброчные подати (коп),Подушная подать (руб),Подушная подать (коп),Подати других наименований (руб),Подати других наименований (коп),Общественные сборы (руб),Общественные сборы (коп),Сбор на продовольствие (руб),Сбор на продовольствие (коп),Земские сборы (руб),Земские сборы (коп),Налог с недвижимого имущества (руб),Налог с недвижимого имущества (коп),Рассрочка недоимок (руб),Рассрочка недоимок (коп),Выкупные платежи (руб),Выкупные платежи (коп),Разные взыскания (руб),Разные взыскания (коп),ВСЕГО (руб),ВСЕГО (коп)
"Город Красноярск",-,-,7229,90.75,-,-,-,-,-,-,4909,67.25,-,-,-,-,-,-,-,-,12139,58
"Город Енисейск",-,-,4911,83.5,-,-,-,-,49,89.5,3113,41.5,-,-,-,-,-,-,-,-,8075,14.5
"Город Туруханск",-,-,47,50.5,-,-,-,-,-,-,303,24,-,-,-,-,-,-,-,-,350,74.5
"Город Канск",-,-,1470,61.5,-,-,-,-,-,-,444,17.75,-,-,-,-,-,-,-,-,1914,79.25
"Город Ачинск",-,-,7864,93,-,-,-,-,-,-,8414,92.75,-,-,-,-,-,-,-,-,16279,85.75
"Город Минусинск",-,-,3456,50.5,-,-,-,-,-,-,435,0.75,-,-,-,-,-,-,-,-,3891,51.25
"Округ Красноярский",85362,36,23530,43.5,7748,16.75,1438,63.25,563,90,46441,98.5,-,-,-,-,-,-,-,-,165085,48
"Округ Енисейский",25291,38,7342,38.5,840,41,185,89.5,263,53.25,7664,30.5,-,-,-,-,-,-,-,-,41587,90.75
"Округ Туруханский",5665,65.25,518,52,1,60.5,-,45,-,-,18,85.5,-,-,-,-,-,-,-,-,6205,8.25
"Округ Канский",74853,91,18875,71,3837,49.75,584,85.25,921,41.75,36170,84,-,-,-,-,-,-,-,-,135244,22.75
"Округ Ачинский",67345,28.5,18827,36.75,4069,96.5,879,13.75,436,95.75,42977,37.75,-,-,-,-,-,-,-,-,124536,9
"Округ Минусинский",48717,73.5,22158,22,2261,9,715,32.75,280,89.75,37538,19.5,-,-,-,-,-,-,-,-,111671,46.5
