Территория,Тип территории,Тип производства,Число заведений,Сумма производства (руб),Число рабочих
"Красноярск","Город","Салотопенные",3,6050,12
"Красноярск","Город","Мыловаренные",4,1200,20
"Красноярск","Город","Кожевенные",9,21200,36
"Красноярск","Город","Воскобелильные",1,12500,2
"Красноярск","Город","Маслобойные",2,1000,4
"Красноярск","Город","Канатные",2,1300,4
"Красноярск","Город","Винокуренные",3,96874,9
"Красноярск","Город","Пивоваренные",2,3100,6
"Красноярск","Город","Кирпичные",8,5200,16
"Красноярск","Город","Гончарные",3,300,6
"Красноярск","Город","Папиросные",3,4500,3
"Красноярск","Город","Экипажные",5,12600,10
"Красноярский округ","Округ","Кожевенные",1,100,2
"Красноярский округ","Округ","Стеклоделательные",1,2000,25
"Красноярский округ","Округ","Маслобойные",2,470,4
"Красноярский округ","Округ","Кирпичные",2,300,2
"Красноярский округ","Округ","Гончарные",2,830,7
"Енисейск","Город","Кожевенные",2,900,4
"Енисейск","Город","Воскобелильные",1,11400,4
"Енисейск","Город","Винокуренные",2,10400,3
"Енисейск","Город","Пивоваренные",1,1000,2
"Енисейск","Город","Кирпичные",2,8600,24
"Енисейский округ","Округ","Винокуренные",1,7293614,20
"Канск","Город","Салотопенные",1,3200,3
"Канск","Город","Мыловаренные",1,1000,2
"Канск","Город","Кожевенные",1,7000,4
"Канск","Город","Кирпичные",4,6000,10
"Канский округ","Округ","Кожевенные",1,830,4
"Канский округ","Округ","Винокуренные",4,37548651.5,238
"Канский округ","Округ","Железоделательные",3,-,-
"Канский округ","Округ","Солеваренные",1,6150276,298
"Ачинск","Город","Салотопенные",1,3800,2
"Ачинск","Город","Мыловаренные",1,1600,2
"Ачинск","Город","Кожевенные",2,3500,19
"Ачинск","Город","Маслобойные",1,1850,2
"Ачинск","Город","Кирпичные",1,350,5
"Ачинск","Город","Гончарные",1,200,3
"Ачинск","Город","Папиросные",1,1050,2
