Тег;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
orgName;Казенная Палата;#org_казенная_палата;1;Гос. Органы;
orgName;была переведена изъ замка больница;#org_была_переведена_изъ_замка_больница;1;Медицина;
orgName;Казенная Палата;;1;Гос. Органы;
orgName;была переведена изъ замка больница;;1;Медицина;
orgName;Красноярская больница;;1;Медицина;
placeName;Енисейской;#place_enisei_okrug;42;Адм. единицы;
placeName;Красноярской;#place_krasnoyarsk;6;Адм. единицы;
placeName;Ачинской;#place_achinsk;5;Адм. единицы;
placeName;Восточной Сибири;#place_eastern_siberia;4;Географические точки;
placeName;Ачинска;#place_achinsk;3;Насел. пункты;
placeName;Минусинской;#place_minusinsk;3;Адм. единицы;
placeName;Красноярска;#place_krasnoyarsk;3;Насел. пункты;
placeName;Енисейскому;#place_enisei_okrug;2;Насел. пункты;
placeName;Томской;#place_tomsk_province;2;Адм. единицы;
placeName;Канскому;#place_kansk;2;Насел. пункты;
placeName;г. Красноярска;#place_krasnoyarsk;2;Насел. пункты;
placeName;Красноярская;#place_krasnoyarsk;2;Насел. пункты;
placeName;г. Енисейск;#place_eniseysk;1;Насел. пункты;
placeName;г. Енисейска;#place_eniseysk;1;Насел. пункты;
placeName;Ачинскому;#place_achinsk;1;Насел. пункты;
placeName;Минусинскому;#place_minusinsk;1;Насел. пункты;
placeName;Красноярску;#place_krasnoyarsk;1;Насел. пункты;
placeName;Енисейску;#place_enisei_okrug;1;Насел. пункты;
placeName;Канску;#place_kansk;1;Насел. пункты;
placeName;Ачинску;#place_achinsk;1;Насел. пункты;
placeName;Минусинску;#place_minusinsk;1;Насел. пункты;
placeName;г. Красноярску;#place_krasnoyarsk;1;Насел. пункты;
placeName;Иркутскую;#place_irkutsk_province;1;Насел. пункты;
placeName;Красноярскому округу;#place_krasnoyarsk_okrug;1;Адм. единицы;
placeName;Енисейскою;#place_enisei_okrug;1;Насел. пункты;
placeName;Канской;#place_kansk;1;Адм. единицы;
placeName;Енисей;#place_enisey_river;1;Насел. пункты;
placeName;Вознесенской;#place_вознесенской;1;Адм. единицы;
placeName;Томска;#place_tomsk_province;1;Насел. пункты;
placeName;Енисейска;#place_enisei_okrug;1;Насел. пункты;
placeName;Енисейскую;#place_enisei_okrug;1;Насел. пункты;
placeName;Иркутской;#place_irkutsk_province;1;Адм. единицы;
placeName;Новоселовской;#place_новоселовской;1;Адм. единицы;
placeName;Ачинском;#place_achinsk;1;Насел. пункты;
placeName;Красноярск;;1;Насел. пункты;
placeName;Енисейск;;1;Насел. пункты;
placeName;Канск;;1;Насел. пункты;
placeName;Ачинск;;1;Насел. пункты;
placeName;Минусинск;;1;Насел. пункты;
placeName;Томская губерния;;1;Адм. единицы;
placeName;Иркутская губерния;;1;Адм. единицы;
placeName;Восточная Сибирь;;1;Географические точки;
placeName;Енисейский округ;;1;Адм. единицы;
placeName;Красноярский округ;;1;Адм. единицы;
placeName;Енисей;;1;Насел. пункты;
placeName;Вознесенской;;1;Адм. единицы;
placeName;Новоселовской;;1;Адм. единицы;
