Территория;Случаев детоубийства;Случаев смертоубийства;Всего случаев;Жертвы детоубийства Муж.;Жертвы детоубийства Жен.;Жертвы смертоубийства Муж.;Жертвы смертоубийства Жен.;Всего жертв Муж.;Всего жертв Жен.;Самоубийств Муж.;Самоубийств Жен.;Умерло от болезни Муж.;Умерло от болезни Жен.
г. Красноярск;0;3;3;0;0;3;0;3;0;1;1;0;*
Красноярский округ;0;19;19;0;0;16;3;16;3;3;1;0;*
г. Енисейск;0;1;1;0;0;1;0;1;0;2;0;0;*
Енисейский округ;0;16;16;0;0;13;3;13;3;3;1;0;*
г. Канск;0;5;5;0;0;5;0;5;0;1;1;0;*
Канский округ;2;21;23;0;2;19;2;19;4;4;0;0;*
г. Ачинск;0;1;1;0;0;0;1;0;1;1;1;0;*
Ачинский округ;0;13;13;0;0;12;1;12;1;2;0;0;*
г. Минусинск;0;0;0;0;0;0;0;0;0;0;0;0;*
Минусинский округ;1;27;28;1;0;25;2;26;2;9;0;0;*
Усинский пограничный округ;0;0;0;0;0;0;0;0;0;0;0;0;*
г. Туруханск;0;0;0;0;0;0;0;0;0;0;0;0;*
Туруханский край;0;0;0;0;0;0;0;0;0;0;0;0;*
На частных золотых промыслах;0;5;5;0;0;5;0;5;0;1;0;5;*
ИТОГО;3;111;114;1;2;99;12;100;14;25;5;5;*
