Территория;Скоропостижно от неизв. причин Муж.;Скоропостижно от неизв. причин Жен.;Всего скоропостижно Муж.;Всего скоропостижно Жен.;Найденные мертвые тела Муж.;Найденные мертвые тела Жен.;Убито громом Муж.;Убито громом Жен.;Задавлено и упало с высоты Муж.;Задавлено и упало с высоты Жен.;Сгорело и убито на пожарах Муж.;Сгорело и убито на пожарах Жен.;Умерло от угара Муж.;Умерло от угара Жен.;Замерзло Муж.;Замерзло Жен.;Утонуло Муж.;Утонуло Жен.;Укушено до смерти зверями Муж.;Укушено до смерти зверями Жен.;Умерло от других случайностей Муж.;Умерло от других случайностей Жен.;Итого случайных смертей Муж.;Итого случайных смертей Жен.;Всего неестественных смертей Муж.;Всего неестественных смертей Жен.
г. Красноярск;0;0;3;0;0;1;0;0;0;0;0;0;1;1;1;1;3;0;0;0;10;6;15;6;22;8
Красноярский округ;0;0;4;0;0;0;0;0;7;0;2;0;1;0;11;0;8;2;0;0;19;9;48;11;71;15
г. Енисейск;0;0;3;0;1;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;7;3;10;3;17;3
Енисейский округ;0;0;2;0;0;0;0;0;1;0;1;0;1;0;0;0;5;3;0;0;5;4;13;7;29;11
г. Канск;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;8;2;14;3
Канский округ;0;0;1;0;1;1;2;0;4;0;1;0;1;0;2;0;4;3;0;0;19;3;33;6;58;11
г. Ачинск;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;3;2
Ачинский округ;0;0;4;0;0;0;0;0;2;0;0;0;5;0;1;0;7;4;0;0;29;8;44;12;62;13
г. Минусинск;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Минусинский округ;0;0;7;0;0;1;0;1;5;0;1;0;1;0;2;0;11;8;0;0;38;7;59;15;101;17
Усинский пограничный округ;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;6;0;6;0
г. Туруханск;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Туруханский край;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
На частных золотых промыслах;0;0;6;0;1;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0;1;2;6;2;19;2
ИТОГО;0;0;30;0;3;2;3;0;23;0;6;0;11;0;20;0;44;27;0;0;132;42;244;64;402;85
