Наименование сборов;Поступило Недоимок (руб.);Поступило Недоимок (коп.);Поступило Оклада 1 пол. (руб.);Поступило Оклада 1 пол. (коп.);Поступило Оклада 2 пол. (руб.);Поступило Оклада 2 пол. (коп.);Осталось Недоимок (руб.);Осталось Недоимок (коп.);Осталось Оклада 1 пол. (руб.);Осталось Оклада 1 пол. (коп.);Осталось Оклада 2 пол. (руб.);Осталось Оклада 2 пол. (коп.);Всего осталось (руб.);Всего осталось (коп.)
Подушной подати с гос. крестьян;1805;83.25;9075;23.5;49125;59;45449;89.25;50870;81.25;5972;82.25;10741;80.25;67585;4.25
Подушной подати со ссыльно-поселенцев;374;75.25;5009;77;3223;10.5;1287;48.5;55592;98.25;4012;59;8401;58;68006;95.25
Подушной подати с купцов и мещан;8;1.00;0;87;41;27;3;4;105;17;1;9;39;51;145;57
Подушной подати с оседлых инородцев;1;82;208;10;907;78.25;857;14;589;97;9;10.25;80;27;459;54.25
Подушной подати с кочевых инородцев;0;0;2490;89;7852;15;7852;12;8540;48.25;1450;54;1527;83;9298;85.25
Итого подушной подати;1988;28.25;14782;88.25;81147;88;55449;48.25;93297;40.25;11425;95;18770;59.25;123493;75
Обброчной подати с гос. крестьян;2882;40.25;22491;94;112874;52.25;99378;57.25;138500;81.25;12280;8.5;24275;49.25;175056;17.25
Обброчной подати со ссыльно-поселенцев;1028;58.25;8148;73;8310;87;5028;92;132449;55.25;11030;54.25;17359;81.25;160839;91.25
Обброчной подати с купцов и мещан;12;55;1;57;84;94;53;94;285;4;2;74;53;74;389;82
Обброчной подати с оседлых инородцев;2;74;329;45.25;2089;98;1859;47;883;55.25;0;0;244;50;929;85.25
Итого обброчной подати;3914;1.25;30989;49.25;123199;91.25;106275;70.25;278918;58.25;23293;55.25;41913;55;44125;28.25
Налог с недвиж. имуществ в городах;900;0;5957;88;0;0;10581;18.25;12879;89;0;0;4498;81.25;17118;50.25
Сбор на наемников с гос. крестьян;19;55;434;82;1209;24;1107;88;2705;59.25;151;95;281;47.25;3121;95.25
Сбор на наемников с купцов и мещан;0;0;0;0;0;0;0;0;1;58;0;0;2;5;1;85
Сбор на наемников с оседлых инородцев;0;2.25;5;92;21;95;21;19;2;48;0;83.25;1;81;4;95.25
Сбор на наемников с кочевых инородцев;0;87.5;5;92;58;94.25;101;82.75;17;32;0;0;1;17;17;33
Итого на наемников;19;49;411;81;1329;8;1231;88.25;2728;91.25;152;80;288;17.25;3145;89.25
На губернские повинности;243;93.25;21585;80;69297;80.25;60585;98;117773;57.25;11589;48;28512;54.25;157875;57.25
На частные повинности;22;58.25;814;81;541;8;537;41.5;29155;10;122;81.25;189;17.5;29185;3.25
Сбор на пожарные случаи;1.00;20;573;44;1840;10;1487;84;3887;17;257;28;409;48;4505;89
Экономический сбор;85;18;1050;44;810;87;525;0;8421;58;898;55.25;1254;84.25;10552;78
Всего по Енисейской губернии;7911;89.25;78155;98.25;257708;49;252351;97.25;518837;97;47508;19.25;95754;55;662100;71.5
