Категория преступления;Инородцев Муж.;Инородцев Жен.;Поселенцев Муж.;Поселенцев Жен.;Ссыльно-каторж. Муж.;Ссыльно-каторж. Жен.;Ниже 17 лет Муж.;Ниже 17 лет Жен.;17-20 лет Муж.;17-20 лет Жен.;21-30 лет Муж.;21-30 лет Жен.;31-40 лет Муж.;31-40 лет Жен.;41-50 лет Муж.;41-50 лет Жен.;51-60 лет Муж.;51-60 лет Жен.;Свыше 60 лет Муж.;Свыше 60 лет Жен.
О преступлениях против веры;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
О ересях и расколах;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
О святотатстве;0;0;3;0;1;0;0;0;0;0;1;0;3;1;2;0;1;0;1;0
О лжеприсяге;0;0;0;0;0;0;0;0;0;0;1;2;3;1;0;1;0;1;0;0
О сопротивлении властям;0;0;8;0;0;0;0;0;1;0;24;1;20;1;13;1;4;1;6;0
Об оскорблении чиновников;0;0;0;2;0;0;0;0;0;1;2;3;14;2;3;1;11;4;2;0
О присвоении власти;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;1;0;0;0
О похищении бумаг;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;1;0
О взломе тюрем и побеге;1;0;6;0;4;0;0;0;0;0;8;0;9;1;1;0;1;0;1;0
О преступлениях по службе;1;0;0;0;0;0;0;0;0;0;9;0;33;0;17;0;7;0;2;0
Об уклонении от повинности;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
О нарушении уставов монетных;2;0;23;2;0;0;0;0;2;0;10;3;6;2;9;0;7;0;1;0
О нарушении устава о гербах;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
О нарушении устава горного;0;0;2;0;0;0;0;0;0;0;0;0;5;0;3;0;0;0;0;0
О нарушении о питейном сборе;0;0;0;1;0;0;0;0;0;0;1;0;8;1;4;0;0;1;0;0
О нарушении о табаке;0;0;1;0;1;0;0;0;0;0;2;0;1;1;0;0;1;0;0;0
О преступлениях против здравия;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0
О подговоре к побегу;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0
О бродяжестве;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0
О составлении подложных видов;0;0;2;0;3;0;0;0;0;0;3;0;5;0;0;0;0;0;1;0
