Категория преступления;Статьи закона;Число дел;Осуждено Муж.;Осуждено Жен.;Дворян потомств. Муж.;Дворян потомств. Жен.;Дворян личных Муж.;Дворян личных Жен.;Почетн. гражд. и купцов Муж.;Почетн. гражд. и купцов Жен.;Духовного звания Муж.;Духовного звания Жен.;Мещан Муж.;Мещан Жен.;Крестьян Муж.;Крестьян Жен.
О присвоении и утайке чужой собственности;1677-1685;10;10;2;0;0;1;0;0;0;0;0;1;0;6;2
О преступлениях по договорам и обязательствам;1686-1711;12;10;3;1;0;0;1;0;1;0;0;5;1;4;0
О происшествиях;-;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ИТОГО по уложению о наказаниях;-;1482;1486;157;3;0;50;3;9;3;0;0;194;41;755;59
По мировому уставу:;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
О проступках против порядка управления;29-34;3;5;1;0;0;0;0;0;0;0;0;1;1;3;0
О нарушении порядка и спокойствия;37-51;2;2;0;0;0;0;0;0;0;0;0;1;0;1;0
О нарушении устава о паспортах;53-64;6;6;0;0;0;0;0;0;0;0;0;2;0;3;0
О нарушении устава строительного;65-87;4;2;2;0;0;0;0;1;0;0;0;0;2;1;0
О нарушении правил осторожности от пожаров;88-98;2;4;0;0;0;0;0;0;0;0;0;1;0;3;0
О проступках против народного здравия;102-116;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
О проступках против личной безопасности;117-129;2;3;0;0;0;0;0;0;0;0;0;2;0;1;0
Об оскорблениях чести;130-138;50;50;2;0;0;2;0;2;1;0;0;13;1;6;0
Об угрозах и насилии;139-142;3;2;2;0;0;0;0;0;0;0;0;1;1;0;0
О самовольном пользовании чужим имуществом;143-153;2;3;0;0;0;0;0;0;0;0;0;1;0;1;0
О краже;169-172;61;37;10;0;0;0;0;0;0;0;0;12;2;37;0
О мошенничестве, обманах;173-181;11;7;4;0;0;0;0;1;0;0;0;0;2;6;1
ИТОГО по мировому уставу;-;127;122;21;0;0;2;0;4;1;0;0;34;9;62;7
ВСЕГО;-;1609;1608;178;3;0;52;3;13;4;0;0;228;50;817;66
