Местность;Тип производства;Число заведений;Сумма производства (руб.);Число рабочих
г. Красноярск;Салотопенные и свечные;4;16050;8
г. Красноярск;Мыловаренные;3;8411;9
г. Красноярск;Кожевенные;12;38758;34
г. Красноярск;Воскобелильные;1;18280;2
г. Красноярск;Водочные склады и заводы;5;254845;26
г. Красноярск;Пиво-медоваренные;2;27724;19
г. Красноярск;Дрожжевые;1;700;2
г. Красноярск;Чугунно-литейные, слесарные и лесопильные;2;219000;60
г. Красноярск;Колокольные;1;700;1
г. Красноярск;Кирпичные;7;9350;62
г. Красноярск;Спичечные;2;4628;51
Красноярский округ;Кожевенные;9;1480;10
Красноярский округ;Винокуренные;1;145689;28
Красноярский округ;Стеклоделательные;1;4066;10
Красноярский округ;Фаянсовые;1;1098;10
Красноярский округ;Кирпичные;2;540;12
Красноярский округ;Смольные и скипидарные;1;1127;2
г. Енисейск;Салотопенные и свечные;1;5000;1
г. Енисейск;Кожевенные;7;7700;11
г. Енисейск;Воскобелильные;1;12000;1
г. Енисейск;Маслобойные;1;860;1
г. Енисейск;Канатные и веревочные;3;1000;1
г. Енисейск;Винокуренные;1;129590;25
г. Енисейск;Водочные склады и заводы;1;25000;4
г. Енисейск;Пиво-медоваренные;1;2400;8
г. Енисейск;Кирпичные;13;3262;29
г. Енисейск;Экипажные и кузнечные;8;3050;19
Енисейский округ;Кожевенные;2;*;1
Енисейский округ;Винокуренные;1;*;1
Енисейский округ;Гончарные;16;*;*
Енисейский округ;Солеваренные;1;*;*
Канский округ;Кожевенные;8;3620;7
Канский округ;Маслобойные;1;600;2
Канский округ;Винокуренные;1;85075;56
Канский округ;Солеваренные;1;12000;20
г. Ачинск;Салотопенные и свечные;1;2150;1
г. Ачинск;Мыловаренные;1;5900;4
г. Ачинск;Кожевенные;3;5500;6
г. Ачинск;Пиво-медоваренные;1;1200;2
г. Ачинск;Кирпичные;5;720;11
Ачинский округ;Кожевенные;17;10876;56
Ачинский округ;Маслобойные;2;660;4
Ачинский округ;Канатные и веревочные;1;350;3
Ачинский округ;Винокуренные;4;269470;146
Ачинский округ;Кирпичные;15;10190;5
г. Минусинск;Салотопенные и свечные;3;5000;11
г. Минусинск;Мыловаренные;2;500;5
г. Минусинск;Кожевенные;7;18000;28
г. Минусинск;Воскобелильные;2;300;1
г. Минусинск;Маслобойные;4;1500;11
г. Минусинск;Канатные и веревочные;6;1200;15
г. Минусинск;Кирпичные;5;1200;25
г. Минусинск;Гончарные;3;300;2
г. Минусинск;Экипажные и кузнечные;7;1200;15
Минусинский округ;Крупчатные;3;177569;56
Минусинский округ;Винокуренные;3;542022;166
Минусинский округ;Пиво-медоваренные;1;1500;2
Минусинский округ;Дрожжевые;1;1400;6
Минусинский округ;Чугунно-литейные, слесарные и лесопильные;1;8050;45
Минусинский округ;Стеклоделательные;1;14999;59
Минусинский округ;Солеваренные;1;57200;27
