Территория;Законнорожденные Муж.;Законнорожденные Жен.;Законнорожденные Всего;Незаконнорожденные Муж.;Незаконнорожденные Жен.;Незаконнорожденные Всего;Всего родившихся Муж.;Всего родившихся Жен.;Всего родившихся Всего;Умершие Муж.;Умершие Жен.;Умершие Всего;Прирост (+) или убыль (-);Число браков
г. Красноярск;319;312;631;67;70;137;386;382;768;421;256;686;+82;106
г. Енисейск;149;144;293;37;37;74;186;181;367;228;160;388;-21;65
г. Канск;98;82;180;8;15;23;106;97;203;176;90;266;-63;31
г. Ачинск;82;102;184;4;6;10;86;108;194;137;87;224;-30;24
г. Минусинск;171;173;344;21;22;43;192;195;387;219;189;408;-21;68
г. Туруханск;21;16;37;4;2;6;25;18;43;14;12;26;+17;14
Итого по городам;840;829;1669;141;152;293;981;981;1962;1195;803;1998;-36;308
Красноярский округ;1494;1356;2850;105;114;219;1599;1470;3069;1367;1132;2499;+570;413
Енисейский округ;1304;1199;2503;126;109;235;1430;1308;2738;1036;881;1917;+821;383
Канский округ;1624;1570;3194;156;136;292;1780;1706;3486;1506;1297;2803;+683;491
Ачинский округ;2135;2050;4185;177;161;338;2312;2211;4523;1577;1369;2946;+1577;663
Минусинский округ;3108;2962;6070;670;615;1285;3778;3577;7355;2496;2193;4689;+2666;1065
Туруханский край;50;56;106;7;8;17;59;64;123;34;21;55;+68;17
Усинский пограничный округ;14;19;33;12;14;26;26;33;59;18;19;37;+22;8
Итого по округам;9729;9212;18941;1255;1157;2412;10984;10369;21353;8034;6912;14946;+6407;3010
Всего в губернии;10569;10041;20610;1396;1309;2705;11965;11350;23315;9229;7715;16914;+6371;3348
