Территория;Пожаров зимой;Погоревших дворов зимой;Убытки зимой (руб.);Пожаров весной;Погоревших дворов весной;Убытки весной (руб.);Пожаров летом;Погоревших дворов летом;Убытки летом (руб.);Пожаров осенью;Погоревших дворов осенью;Убытки осенью (руб.);Всего пожаров;Всего дворов;Всего убытков (руб.);Причина: печи и трубы;Причина: неосторожность;Причина: поджог;Причина: другие
г. Красноярск;6;3;760.00;0;0;0.00;1;1;35.00;8;6;3165.00;15;10;3960.00;7;6;1;1
Красноярский округ;10;2;2183.00;7;2;668.00;11;8;24719.90;14;4;4765.80;42;16;32336.70;2;4;12;24
г. Енисейск;2;2;50.00;1;1;10.00;0;0;0.00;2;2;100.00;5;5;160.00;2;3;0;0
Енисейский округ;1;2;115.00;0;0;0.00;1;0;147.80;2;0;100.00;4;2;372.80;1;1;0;2
г. Канск;0;0;0.00;0;0;0.00;0;0;0.00;4;4;350.00;4;4;350.00;3;1;0;0
Канский округ;11;11;6475.95;0;0;0.00;5;5;1335.00;6;5;2372.00;22;21;10182.95;2;7;9;4
г. Ачинск;0;0;0.00;0;0;0.00;0;0;0.00;0;0;0.00;0;0;0.00;0;0;0;0
Ачинский округ;1;1;95.00;2;0;100.00;2;2;80.00;1;1;1000.00;6;4;1275.00;2;2;1;1
г. Минусинск;0;0;0.00;0;0;0.00;0;0;0.00;0;0;0.00;0;0;0.00;0;0;0;0
Минусинский округ;4;3;2321.20;14;10;14529.25;3;8;8650.00;3;3;1043.50;24;21;26606.95;1;10;10;3
Усинский пограничный округ;0;0;0.00;0;0;0.00;0;0;0.00;3;3;103.00;3;3;103.00;0;3;0;0
Туруханский край;0;0;0.00;0;0;0.00;0;0;0.00;0;0;0.00;0;0;0.00;0;0;0;0
ИТОГО;35;24;12000.15;24;13;15370.25;23;24;34967.70;43;28;13009.30;125;86;75347.40;20;37;33;35
