Территория;Детоубийство;Убийство;Убийств Всего;Жертвы убийства Муж.;Жертвы убийства Жен.;Самоубийство Муж.;Самоубийство Жен.;Найдено мертвых тел Муж.;Найдено мертвых тел Жен.;Убито громом Муж.;Убито громом Жен.;Задавлено и упало Муж.;Задавлено и упало Жен.;Сгорело на пожарах Муж.;Сгорело на пожарах Жен.;Умерло от угара Муж.;Умерло от угара Жен.;Замерзло Муж.;Замерзло Жен.;Утонуло Муж.;Утонуло Жен.;Другие случайности Муж.;Другие случайности Жен.;Итого случайная смерть Муж.;Итого случайная смерть Жен.;Всего погибло Муж.;Всего погибло Жен.
г. Красноярск;-;3;3;-;-;3;-;1;1;-;-;-;-;-;-;1;1;1;1;3;-;10;6;22;8
Красноярский округ;-;19;19;-;-;16;3;3;1;-;-;7;-;2;-;1;1;11;-;8;2;19;9;71;15
г. Енисейск;-;1;1;-;-;1;-;2;-;1;-;-;-;-;-;-;-;1;2;2;-;7;3;17;3
Енисейский округ;-;16;16;-;-;13;3;3;1;-;-;1;-;1;-;1;-;-;-;5;3;5;4;29;11
г. Канск;-;5;5;-;-;5;-;1;1;-;-;-;-;-;-;-;-;-;-;4;2;4;-;14;3
Канский округ;2;21;23;-;2;19;2;19;4;1;1;2;4;-;1;-;1;2;2;4;3;19;3;58;11
г. Ачинск;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3;2
Ачинский округ;-;13;13;-;-;12;1;12;1;-;-;2;-;-;-;5;1;-;1;7;4;29;8;62;13
г. Минусинск;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Минусинский округ;1;27;28;1;-;25;2;26;2;1;1;5;-;1;-;1;2;2;11;8;38;7;101;17
Усинский пограничный округ;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5;-;-;-;6;-;6;-
г. Туруханск;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
На золотых промыслах;-;5;5;-;-;5;-;1;-;-;-;3;-;1;-;-;-;1;-;-;-;1;2;19;2;19;2
ИТОГО;3;111;114;1;2;99;12;100;14;30;-;3;23;-;6;-;11;20;27;-;132;42;244;64;402;85
