Округ / Местность;Площадь (кв. верст);Площадь (кв. геогр. миль)
Красноярский округ;18011.4;372.25
Ачинский округ;51177.0;1057.71
Канский округ;72989.5;1508.52
Минусинский округ;93497.1;1932.36
Енисейский округ;399012.7;8246.65
Туруханский край (материк с озерами);1616374.6;33406.66
Туруханский край (острова в Тазовской губе);5000.0;103.34
Туруханский край (острова в Енисейской губе);2900.0;59.94
Туруханский край (острова в Таймырской губе);550.0;11.36
Туруханский край (Каменные острова);50.0;1.03
