Округ;Продукт;Зимой (руб.);Зимой (коп.);Весной (руб.);Весной (коп.);Летом (руб.);Летом (коп.);Осенью (руб.);Осенью (коп.)
Красноярский;Мука ржаная;-;91;1;15;-;98;-;77
Красноярский;Мука пшеничная;1;23;1;38;1;35;1;7
Красноярский;Овес;-;45;-;53;-;50;-;33
Енисейский;Мука ржаная;-;70;1;39.5;1;37;-;90
Енисейский;Мука пшеничная;1;50;1;40;1;50;1;40
Енисейский;Овес;-;39.25;-;79.75;-;79.75;-;39.25
Канский;Мука ржаная;-;-;-;92;-;87;-;90
Канский;Мука пшеничная;-;-;1;20;1;10;1;15
Канский;Овес;-;-;-;55;-;40;-;47
Ачинский;Мука ржаная;-;57;-;98;-;70;-;74
Ачинский;Мука пшеничная;-;90;1;36;1;5;1;10
Ачинский;Овес;-;30;-;52;-;51;-;52.5
Минусинский;Мука ржаная;1;5;-;77;-;70;-;62
Минусинский;Мука пшеничная;1;15;1;10;-;85;-;77
Минусинский;Овес;-;41;-;44;-;28;-;23
Усинский пограничный;Мука ржаная;-;65;-;65;-;65;-;55
Усинский пограничный;Мука пшеничная;1;10;1;-;1;-;-;85
Усинский пограничный;Овес;-;70;-;70;-;60;-;45
Туруханский край;Мука ржаная;1;20;-;90;1;20;1;30
Туруханский край;Мука пшеничная;1;90;2;-;1;70;1;80
Туруханский край;Овес;-;-;-;-;-;-;-;-
