Округ;Наименование местностей (волостей);Ссыльно-поселенцев Муж.;Ссыльно-поселенцев Жен.;Водворяемо рабочих Муж.;Водворяемо рабочих Жен.;Сосланных на житье Муж.;Сосланных на житье Жен.;Административно-сословных Муж.;Административно-сословных Жен
Красноярский округ;Заледеевской;22;-;1;-;15;-;2;-
Красноярский округ;Вознесенской;23;5;-;-;-;-;1;-
Красноярский округ;Погорельской;41;2;10;-;7;-;5;-
Красноярский округ;Сухобузимской;74;2;5;-;2;-;2;-
Красноярский округ;Частоостровской;99;3;2;-;12;-;2;1
Красноярский округ;Еловской;57;5;4;-;18;-;6;-
Красноярский округ;Нахвальской;92;1;2;1;-;-;8;-
Ачинский округ;Покровской;12;11;-;-;-;-;-;-
Ачинский округ;Назаровской;176;6;1;-;11;-;2;1
Ачинский округ;Ужурской;87;1;-;-;-;-;6;-
Ачинский округ;Балахтинской;169;1;1;-;6;-;10;-
Минусинский округ;Новоселовской;53;5;2;-;-;-;35;-
Минусинский округ;Абаканской;-;-;-;-;-;-;-;-
Минусинский округ;Идринской;42;1;-;-;-;-;-;-
Минусинский округ;Курагинской;-;-;-;-;-;-;-;-
Минусинский округ;Тесинской;31;2;-;-;-;-;7;-
Минусинский округ;Сагайской;27;2;-;-;-;-;-;-
Минусинский округ;Шушенской;4;-;-;-;-;-;-;-
Минусинский округ;Ермаковской;74;8;-;-;-;-;-;-
Минусинский округ;Бейской;25;1;-;-;-;-;-;-
Енисейский округ;Казачинской;14;-;-;-;-;-;-;-
Енисейский округ;Маклаковской;10;-;-;-;1;-;-;-
Енисейский округ;Бельской;17;-;-;-;-;-;3;-
Енисейский округ;Яланской;9;-;-;-;-;-;-;-
Енисейский округ;Анциферовской;19;-;-;-;6;-;9;-
Енисейский округ;Пинчугской;10;-;-;-;-;-;6;-
Енисейский округ;Кежемской;2;-;2;-;-;-;5;-
Енисейский округ;Туруханском крае;-;-;-;-;-;-;6;-
Канский округ;Рыбинской;63;-;-;-;-;-;-;-
Канский округ;Ирбейской;51;-;-;-;-;-;-;4
Канский округ;Уринской;42;-;3;-;-;-;-;-
Канский округ;Анцырской;19;-;-;-;-;-;3;-
Канский округ;Тинской;24;-;-;-;-;-;-;-
Канский округ;Устьянской;27;-;11;-;-;-;8;-
Канский округ;Тасеевской;37;-;-;-;-;-;-;-
Канский округ;Шелаевском отдельном сельском обществе;29;-;6;1;-;-;6;-
ИТОГО;Всего;1481;56;50;2;78;-;132;6
