Наименование сборов;Следовало поступить Недоимок (руб.);Следовало поступить Недоимок (коп.);Оклада 1 половина (руб.);Оклада 1 половина (коп.);Оклада 2 половина (руб.);Оклада 2 половина (коп.);Поступило недоимок (руб.);Поступило недоимок (коп.);Поступило оклада 1 пол. (руб.);Поступило оклада 1 пол. (коп.);Поступило оклада 2 пол. (руб.);Поступило оклада 2 пол. (коп.);Осталось недоимок (руб.);Осталось недоимок (коп.);Осталось оклада 1 пол. (руб.);Осталось оклада 1 пол. (коп.);Осталось оклада 2 пол. (руб.);Осталось оклада 2 пол. (коп.)
Подушной подати с гос. крестьян;59878;20;55588;51.25;55588;95.5;9075;23.5;49125;59;45449;89.25;50800;81.25;5972;82.25;10741;80.25
Подушной подати со ссыльно-поселенцев;39199;89;7598;81;7598;79;5009;77;3223;10.5;1287;48.5;55592;98.25;4012;59;8401;58
Подушной подати с купцов и мещан;125;80;48;37;48;38;-;87;41;27;3;4;105;17;1;9;39;51
Подушной подати с оседлых инородцев;809;95;918;70;918;89;208;10;907;78.25;857;14;589;97;9;10.25;80;27
Подушной подати с кочевых инородцев;10724;91.25;9379;98;9379;95;2490;89;7852;15;7852;12;8540;48.25;1450;54;1527;83
Итого подушной подати;110534;55.25;73132;55.25;73132;14.25;14782;88.25;61147;88;55449;48.25;93297;40.25;11425;95;18770;59.25
Обброчной подати с гос. крестьян;182224;53;125459;80.25;125459;80.25;22491;94;112874;52.25;99378;57.25;138500;81.25;12280;8.5;24275;49.25
Обброчной подати со ссыльно-поселенцев;14988;92;19817;8;19817;5;8148;73;8310;87;5023;92;132449;55.25;11030;54.25;17359;81.25
Обброчной подати с купцов и мещан;358;44;100;1;100;1;1;57;84;94;53;94;285;4;2;74;53;74
Обброчной подати с оседлых инородцев;1014;81;2088;51;2088;51;329;45.25;2089;98;1859;47;883;55.25;-;-;244;50
Итого обброчной подати;313259;70;147281;58.25;147283;97.25;30989;49.25;123199;91.25;106275;70.25;278918;58.25;23293;55.25;41913;55
Налог с недвиж. имуществ в городах;18524;88;-;-;-;-;5957;88;-;-;10581;18.25;12879;89;-;-;4498;81.25
Сбор на наемников с гос. крестьян;5080;87;1578;48;1578;42;434;82;1209;24;1107;88;2705;59.25;151;95;281;47.25
Сбор на наемников с купцов и мещан;2;83;1;9.25;1;9.25;*;*;*;*;*;*;*;*;*;*;*;*
Сбор на наемников с оседлых инородцев;17;58;22;85;22;84;*;*;21;95;21;19;2;48;*;*;1;81
Сбор на наемников с кочевых инородцев;17;44;101;83;101;82;5;92;58;94.25;101;82.75;17;32;*;*;1;17.25
Итого на наемников;5098;50;1505;97;1505;97.25;411;81;1329;8;1231;38.25;2728;91.25;152;80;288;17.25
На губернские повинности;143789;11;88941;15.25;88941;15.25;21585;80;69297;80.25;60585;98;117773;57.25;11589;48;28512;54.25
На частные повинности;51525;10;542;81.25;542;58.25;814;81;541;8;537;41.5;29155;10;122;81.25;189;17.5
Сбор на пожарные случаи;4392;55;1889;78;1889;78;573;44;1840;10;1487;84;3887;17;257;28;409;48
Экономический сбор;9518;84;1494;50.5;1494;15.25;1050;44;810;87;525;18;8421;58;898;55.25;1254;84.25
Всего по Енисейской губернии;854440;85.25;514747;85.25;514747;17.25;78155;98.25;257708;49;252351;97.25;518837;97;47508;19.25;95754;55
