Округ;Число магазинов;Налицо Озимого (четверти);Налицо Ярового (четверти / гарн.);В ссудах и недоимках Озимого;В ссудах и недоимках Ярового
Красноярскому;75;95;22;488;21
Красноярскому (доп. реестр);-;2;7.25;6;6.25
Енисейскому;85;304;8;421;72
Енисейскому (доп. реестр);-;1;0.25;-;5.25
Канскому;83;714;47;284;0
Канскому (доп. реестр);-;3;7.25;3;-
Ачинскому;23;297;81;256;5
Ачинскому (доп. реестр);-;-;7;2;3
Минусинскому;69;685;4;344;50
Минусинскому (доп. реестр);-;1;1;1;1.5
ИТОГО;-;209663;1 (и 6.75 гарн.);179459;6
