Округ;Название завода;Перекурено в вино пудов муки;Получено % безводного спирта;Получено в полугаре ведер 40%;Среднее число пудов употребл. в суточный затор;Среднее число получения вина в полугаре из суточного затора;Сколько суток действовал завод
Красноярский округ;Ильинский;27810;1165519;29138;270;282.75;103
Енисейский округ;Каменский;21964;932390;23309.75;323;342.75;68
Енисейский округ;Василье-Исаевский;35490;1448840;36221;195;199;182
Канский округ;Ивановский;23175;943477.75;23586.94;257.5;260.96;90
Ачинский округ;Сидоровский;58875;2395060;59876.5;375;387.6;180
Ачинский округ;Мариинский;-;-;-;-;-;не действовал
Ачинский округ;Александровский;20992;855960;21399;164;167.23;28 (по 1 затору в сутки)
Ачинский округ;Леонидовский;101260;4041860;101056.5;244;243.50;415
Ачинский округ;Михайловский;30246;1210250;30256.25;213;213.10;142 (по 1 затору в сутки)
Минусинский округ;Казанский;36285;1513885;37847.12;295;307.70;123
Минусинский округ;Александровский;86899.5;3626957;90673.92;553.20;557.54;157
Минусинский округ;Владимирский;27156;1098357;27458.92;219;221.44;124
Итого;-;470152.5;19232555.75;480813.90;-;-;-
