Категория преступления;Инородцев Муж.;Инородцев Жен.;Поселенцев Муж.;Поселенцев Жен.;Ссыльно-каторжных Муж.;Ссыльно-каторжных Жен.;Ниже 17 лет Муж.;Ниже 17 лет Жен.;17-20 лет Муж.;17-20 лет Жен.;21-30 лет Муж.;21-30 лет Жен.;31-40 лет Муж.;31-40 лет Жен.;41-50 лет Муж.;41-50 лет Жен.;51-60 лет Муж.;51-60 лет Жен.;Свыше 60 лет Муж.;Свыше 60 лет Жен.
О присвоении и утайке чужой собственности;0;0;1;0;0;0;0;0;2;0;2;1;3;1;2;0;0;0;1;0
О преступлениях по договорам и обязательствам;0;0;0;0;0;0;0;0;0;0;1;1;3;2;5;0;1;0;0;0
О происшествиях;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
ИТОГО по уложению о наказаниях;20;4;365;37;19;3;41;4;98;15;439;51;435;41;255;18;133;25;85;3
По мировому уставу:;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
О проступках против порядка управления;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;1;0;0;0;0
О нарушении порядка и спокойствия;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
О нарушении устава о паспортах;0;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;1;0
О нарушении устава строительного;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0
О нарушении правил осторожности от пожаров;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0
О проступках против народного здравия;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
О проступках против личной безопасности;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0
Об оскорблениях чести;0;0;4;0;0;0;1;0;1;0;6;1;12;0;4;1;5;0;5;0
Об угрозах и насилии;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0
О самовольном пользовании чужим имуществом;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
О краже;0;0;4;0;0;0;1;1;2;2;6;4;16;3;13;0;9;0;3;0
О мошенничестве, обманах;0;0;0;0;0;0;0;0;0;0;0;1;5;2;2;0;1;1;1;0
ИТОГО по мировому уставу;0;0;11;1;0;0;4;1;5;2;17;7;41;6;28;3;17;2;10;0
ВСЕГО;20;4;364;38;19;3;45;5;103;17;456;58;476;47;285;21;150;27;95;3
