Территория;Число пожаров зимой;Число погоревших дворов зимой;Сумма убытков зимой (руб.);Число пожаров весной;Число погоревших дворов весной;Сумма убытков весной (руб.)
г. Красноярск;6;3;760.00;0;0;0.00
Красноярский округ;10;2;2183.00;7;2;668.00
г. Енисейск;2;2;50.00;1;1;10.00
Енисейский округ;1;2;115.00;0;0;0.00
г. Канск;0;0;0.00;0;0;0.00
Канский округ;11;11;6475.95;0;0;0.00
г. Ачинск;0;0;0.00;0;0;0.00
Ачинский округ;1;1;95.00;2;0;100.00
г. Минусинск;0;0;0.00;0;0;0.00
Минусинский округ;4;3;2321.20;14;10;14529.25
Усинский пограничный округ;0;0;0.00;0;0;0.00
Туруханский край;0;0;0.00;0;0;0.00
ИТОГО;35;24;12000.15;24;13;15370.25
