id;date_text;event_ref;context
d1;1889 год;;Статистическiя свѣдѣнiя для составленiя отчета и обзора о состоянiи Енисейской губернiи за 1889 годъ
d2;1890 г.;;Начато: 14 Iюня 1890 г. Окончено: 11 Iюля 1890 г.
d3;1890 г.;;Начато: 14 Iюня 1890 г. Окончено: 11 Iюля 1890 г.
d4;1889 год;;Всеподдан ѣйше донося Вашему Императорскому Величеству, что въ управляемой мною губерн iи все обстоитъ благополучно, повергаю на Высочайшее усмотр ѣн iе Ваше годовой отчетъ о состоян iи губерн iи за 1889 годъ.
d5;1890 года;;№402 14/28 Iюня 1890 года. Гор. Красноярскъ
d6;1890 г.;;№440 11 Iюля 1890 г. Въ Канцеляр iю Г. Иркутскаго Генералъ -Губерна -
d7;1889 год;;Им ѣю честь препроводить при семъ (на усмотр ѣнiе Вашего Высокопревосходительства) коп iю съ всеподдан ѣйшаго отчета и обзора о состоян iи Енисейской губерн iи за 1889 годъ.
d8;1889 год;;Им ѣю честь представить при семъ Вашему Высокопр -ву коп iю съ всеподдан ѣйшаго отчета и обзора о состоян iи Енисейской губерн iи за 1889 годъ. В ѣрно Членъ Секретарь Г. Хиту*
d9;1888 г.;;Циркуляръ М.В.Д. отъ 18 окт. 1888 г. * №*/88
d10;1889 год;;За 1889 годъ
