Тег;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
orgName;Министерства внутренних дел;#org_ministry_internal;6;;
orgName;образована была особая продовольственная комиссия;#org_образована_была_особая_продовольственная_комиссия;2;;
orgName;если бы Министерство;#org_если_бы_министерство;1;;
orgName;устранение чего общее присутствие;#org_устранение_чего_общее_присутствие;1;;
orgName;Комитета министров;#org_committee_ministers;1;;
orgName;губернское по воинской повинности присутствие;#org_губернское_по_воинской_повинности_присутствие;1;;
orgName;том числе комитет;#org_том_числе_комитет;1;;
orgName;Министерством внутренних дел;#org_ministry_internal;1;;
orgName;Мужская классическая гимназия;#org_мужская_классическая_гимназия;1;;
orgName;Женская гимназия;#org_женская_гимназия;1;;
orgName;Владимирский детский приют;#org_vladimir_orphanage;1;;
orgName;Министерство внутренних дел;;1;;
orgName;Комитет министров;;1;;
orgName;Владимирский детский приют;;1;;
orgName;образована была особая продовольственная комиссия;;1;;
orgName;Красноярская продовольственная комиссия;;1;;
orgName;если бы Министерство;;1;;
orgName;устранение чего общее присутствие;;1;;
orgName;губернское по воинской повинности присутствие;;1;;
orgName;том числе комитет;;1;;
orgName;Енисейская больница;;1;;
orgName;Мужская классическая гимназия;;1;;
orgName;Женская гимназия;;1;;
persName;Шарыповская;#person_шарыповская;2;;
persName;И. С. Щеголева;#person_щеголева;1;;
persName;А. Н. Гадалова;#person_гадалова;1;;
persName;Токаревой;#person_токаревой;1;;
persName;Кузнецовым;#person_кузнецовым;1;;
persName;Шарыповском;#person_шарыповском;1;;
persName;Шарыповской;;1;;
persName;Щеголева;;1;;
persName;Гадалова;;1;;
persName;Игнат;;1;;
persName;Александра Игнат;;1;;
persName;Петра Игнат;;1;;
persName;Токаревой;;1;;
persName;Кузнецовым;;1;;
persName;Шарыповском;;1;;
persName;Шарыповская;;1;;
placeName;Енисейской губернии;#place_enisei_province;38;;
placeName;Минусинском;#place_minusinsk;26;;
placeName;Ачинске;#place_achinsk;24;;
placeName;р. Енисей;#place_enisey_river;21;;
placeName;Красноярском;#place_krasnoyarsk;20;;
placeName;Енисейского;#place_enisei_okrug;20;;
placeName;Канском;#place_kansk;17;;
placeName;Канске;#place_kansk;17;;
placeName;Ачинском;#place_achinsk;16;;
placeName;Красноярского;#place_krasnoyarsk;16;;
placeName;г. Красноярске;#place_krasnoyarsk;16;;
placeName;Красноярске;#place_krasnoyarsk;15;;
placeName;Енисейской;#place_enisei_okrug;15;;
placeName;Минусинске;#place_minusinsk;15;;
placeName;Енисейском;#place_enisei_okrug;13;;
placeName;Туруханском;#place_turukhansk;13;;
placeName;Енисейске;#place_enisei_okrug;12;;
placeName;Ачинска;#place_achinsk;11;;
placeName;Красноярской;#place_krasnoyarsk;11;;
placeName;Канскому;#place_kansk;10;;
placeName;Канского;#place_kansk;9;;
placeName;Ачинскому;#place_achinsk;9;;
placeName;Минусинскому;#place_minusinsk;9;;
placeName;Минусинского;#place_minusinsk;8;;
placeName;г. Енисейске;#place_eniseysk;8;;
placeName;Ачинского;#place_achinsk;8;;
placeName;Канска;#place_kansk;7;;
placeName;Красноярскому;#place_krasnoyarsk;7;;
placeName;Енисейскому;#place_enisei_okrug;7;;
placeName;Минусинска;#place_minusinsk;7;;
placeName;Красноярская;#place_krasnoyarsk;6;;
placeName;Красноярск;#place_krasnoyarsk;6;;
placeName;Красноярска;#place_krasnoyarsk;6;;
placeName;Иркутск;#place_irkutsk_province;6;;
placeName;Туруханске;#place_turukhansk;6;;
placeName;Минусинский;#place_minusinsk;6;;
placeName;Канский;#place_kansk;6;;
placeName;Енисейская;#place_enisei_okrug;6;;
placeName;Томской губернии;#place_tomsk_province;5;;
placeName;Ачинск;#place_achinsk;5;;
placeName;г. Красноярска;#place_krasnoyarsk;4;;
placeName;р. Чулым;#place_chulym_river;4;;
placeName;Минусинск;#place_minusinsk;4;;
placeName;Енисейск;#place_enisei_okrug;4;;
placeName;Красноярский;#place_krasnoyarsk;4;;
placeName;Енисейска;#place_enisei_okrug;4;;
placeName;Ачинская;#place_achinsk;4;;
placeName;Минусинская;#place_minusinsk;4;;
placeName;Канская;#place_kansk;4;;
placeName;Иркутского;#place_irkutsk_province;3;;
placeName;Томской;#place_tomsk_province;3;;
placeName;Енисейскую губернию;#place_enisei_province;3;;
placeName;Иркутска;#place_irkutsk_province;3;;
placeName;Енисей;#place_enisey_river;3;;
placeName;г. Красноярск;#place_krasnoyarsk;3;;
placeName;Иркутской;#place_irkutsk_province;3;;
placeName;Туруханский край;#place_turukhansk_region;3;;
placeName;Енисейский;#place_enisei_okrug;3;;
placeName;Туруханского края;#place_turukhansk_region;3;;
placeName;Туруханска;#place_turukhansk;3;;
placeName;Ачинский;#place_achinsk;3;;
placeName;Ачинской;#place_achinsk;3;;
placeName;Минусинской;#place_minusinsk;3;;
placeName;Пинчугской;#place_пинчугской;2;;
placeName;Енисейскою;#place_enisei_okrug;2;;
placeName;Иркутскому;#place_irkutsk_province;2;;
placeName;Канской;#place_kansk;2;;
placeName;г. Енисейска;#place_eniseysk;2;;
placeName;Усинском;#place_усинском;2;;
placeName;Томска;#place_tomsk_province;2;;
placeName;Рыбинском;#place_rybinskoe;2;;
placeName;Красноярских;#place_krasnoyarsk;2;;
placeName;Тесинская;#place_tesinskaya_volost;2;;
placeName;Минусинским;#place_minusinsk;1;;
placeName;Тобольской;#place_тобольской;1;;
placeName;Иркутским;#place_irkutsk_province;1;;
placeName;Енисейские;#place_enisei_okrug;1;;
placeName;Иркутском;#place_irkutsk_province;1;;
placeName;Приангарского;#place_приангарского;1;;
placeName;Енисейская губерния;#place_enisei_province;1;;
placeName;Усинский;#place_усинский;1;;
placeName;Вознесенской;#place_вознесенской;1;;
placeName;Еловская;#place_еловская;1;;
placeName;Казаченской;#place_казаченской;1;;
placeName;Новоселовской;#place_новоселовской;1;;
placeName;Тесинской;#place_tesinskaya_volost;1;;
placeName;Покровской;#place_покровской;1;;
placeName;Рыбинской;#place_rybinskoe;1;;
placeName;Канском округе;#place_kansk_okrug;1;;
placeName;Туруханским краем;#place_turukhansk_region;1;;
placeName;Иркутскую;#place_irkutsk_province;1;;
placeName;Томскую;#place_tomsk_province;1;;
placeName;Анцирской;#place_анцирской;1;;
placeName;Шарыповской;#place_шарыповской;1;;
placeName;Балахтинской;#place_балахтинской;1;;
placeName;Подсосенской;#place_подсосенской;1;;
placeName;Чулыму;#place_chulym_river;1;;
placeName;Томск;#place_tomsk_province;1;;
placeName;Кежемской;#place_кежемской;1;;
placeName;Канского округа;#place_kansk_okrug;1;;
placeName;Минусинского округа;#place_minusinsk_okrug;1;;
placeName;Ачинского округа;#place_achinsk_okrug;1;;
placeName;Енисейского округа;#place_enisei_okrug;1;;
placeName;Рыбинская;#place_rybinskoe;1;;
placeName;Красноярскою;#place_krasnoyarsk;1;;
placeName;Красноярском округе;#place_krasnoyarsk_okrug;1;;
placeName;Нахвальской;#place_нахвальской;1;;
placeName;Тесинском;#place_tesinskaya_volost;1;;
placeName;Александровский;#place_александровский;1;;
placeName;Красноярское;#place_krasnoyarsk;1;;
placeName;Восточную Сибирь;#place_eastern_siberia;1;;
placeName;Ирбейская;#place_ирбейская;1;;
placeName;Тасеевская;#place_тасеевская;1;;
placeName;Устьянская;#place_устьянская;1;;
placeName;Канск;#place_kansk;1;;
placeName;Красноярск;;1;;
placeName;Енисейск;;1;;
placeName;Канск;;1;;
placeName;Ачинск;;1;;
placeName;Минусинск;;1;;
placeName;Туруханск;;1;;
placeName;Енисейская губерния;;1;;
placeName;Томская губерния;;1;;
placeName;Иркутская губерния;;1;;
placeName;Восточная Сибирь;;1;;
placeName;Туруханский край;;1;;
placeName;Енисейский округ;;1;;
placeName;Красноярский округ;;1;;
placeName;Канский округ;;1;;
placeName;Ачинский округ;;1;;
placeName;Минусинский округ;;1;;
placeName;Енисей;;1;;
placeName;Чулым;;1;;
placeName;Рыбинское;;1;;
placeName;Тесинская волость;;1;;
placeName;Пинчугской;;1;;
placeName;Тобольской;;1;;
placeName;Приангарского;;1;;
placeName;Усинский;;1;;
placeName;Вознесенской;;1;;
placeName;Еловская;;1;;
placeName;Казаченской;;1;;
placeName;Новоселовской;;1;;
placeName;Покровской;;1;;
placeName;Усинском;;1;;
placeName;Анцирской;;1;;
placeName;Шарыповской;;1;;
placeName;Балахтинской;;1;;
placeName;Подсосенской;;1;;
placeName;Кежемской;;1;;
placeName;Нахвальской;;1;;
placeName;Александровский;;1;;
placeName;Ирбейская;;1;;
placeName;Тасеевская;;1;;
placeName;Устьянская;;1;;
