Тег;Текст сущности;REF (ID);Частота;Type;Subtype
orgName;Министерства внутренних дел;#org_ministry_internal;6;Организации;Гос. Органы
orgName;образована была особая продовольственная комиссия;#org_образована_была_особая_продовольственная_комиссия;2;Организации;Общ. орг-ии
orgName;если бы Министерство;#org_если_бы_министерство;1;Организации;Гос. Органы
orgName;устранение чего общее присутствие;#org_устранение_чего_общее_присутствие;1;Организации;Общ. орг-ии
orgName;Комитета министров;#org_committee_ministers;1;Организации;Гос. Органы
orgName;губернское по воинской повинности присутствие;#org_губернское_по_воинской_повинности_присутствие;1;Организации;Общ. орг-ии
orgName;том числе комитет;#org_том_числе_комитет;1;Организации;Гос. Органы
orgName;Министерством внутренних дел;#org_ministry_internal;1;Организации;Гос. Органы
orgName;Мужская классическая гимназия;#org_мужская_классическая_гимназия;1;Организации;Общ. орг-ии
orgName;Женская гимназия;#org_женская_гимназия;1;Организации;Общ. орг-ии
orgName;Владимирский детский приют;#org_vladimir_orphanage;1;Организации;Общ. орг-ии
orgName;Министерство внутренних дел;;1;Организации;Гос. Органы
orgName;Комитет министров;;1;Организации;Гос. Органы
orgName;Владимирский детский приют;;1;Организации;Общ. орг-ии
orgName;образована была особая продовольственная комиссия;;1;Организации;Общ. орг-ии
orgName;Красноярская продовольственная комиссия;;1;Организации;Общ. орг-ии
orgName;если бы Министерство;;1;Организации;Гос. Органы
orgName;устранение чего общее присутствие;;1;Организации;Общ. орг-ии
orgName;губернское по воинской повинности присутствие;;1;Организации;Общ. орг-ии
orgName;том числе комитет;;1;Организации;Гос. Органы
orgName;Енисейская больница;;1;Организации;Общ. орг-ии
orgName;Мужская классическая гимназия;;1;Организации;Общ. орг-ии
orgName;Женская гимназия;;1;Организации;Общ. орг-ии
persName;Шарыповская;#person_шарыповская;2;Люди;Служащие
persName;И. С. Щеголева;#person_щеголева;1;Люди;Служащие
persName;А. Н. Гадалова;#person_гадалова;1;Люди;Служащие
persName;Токаревой;#person_токаревой;1;Люди;Служащие
persName;Кузнецовым;#person_кузнецовым;1;Люди;Служащие
persName;Шарыповском;#person_шарыповском;1;Люди;Служащие
persName;Шарыповской;;1;Люди;Служащие
persName;Щеголева;;1;Люди;Служащие
persName;Гадалова;;1;Люди;Служащие
persName;Игнат;;1;Люди;Служащие
persName;Александра Игнат;;1;Люди;Служащие
persName;Петра Игнат;;1;Люди;Служащие
persName;Токаревой;;1;Люди;Служащие
persName;Кузнецовым;;1;Люди;Служащие
persName;Шарыповском;;1;Люди;Служащие
persName;Шарыповская;;1;Люди;Служащие
placeName;Енисейской губернии;#place_enisei_province;38;Места;Адм. единицы
placeName;Минусинском;#place_minusinsk;26;Места;Насел. пункты
placeName;Ачинске;#place_achinsk;24;Места;Насел. пункты
placeName;р. Енисей;#place_enisey_river;21;Места;Географические точки
placeName;Красноярском;#place_krasnoyarsk;20;Места;Насел. пункты
placeName;Енисейского;#place_enisei_okrug;20;Места;Географические точки
placeName;Канском;#place_kansk;17;Места;Насел. пункты
placeName;Канске;#place_kansk;17;Места;Насел. пункты
placeName;Ачинском;#place_achinsk;16;Места;Насел. пункты
placeName;Красноярского;#place_krasnoyarsk;16;Места;Насел. пункты
placeName;г. Красноярске;#place_krasnoyarsk;16;Места;Насел. пункты
placeName;Красноярске;#place_krasnoyarsk;15;Места;Насел. пункты
placeName;Енисейской;#place_enisei_okrug;15;Места;Географические точки
placeName;Минусинске;#place_minusinsk;15;Места;Насел. пункты
placeName;Енисейском;#place_enisei_okrug;13;Места;Географические точки
placeName;Туруханском;#place_turukhansk;13;Места;Насел. пункты
placeName;Енисейске;#place_enisei_okrug;12;Места;Географические точки
placeName;Ачинска;#place_achinsk;11;Места;Насел. пункты
placeName;Красноярской;#place_krasnoyarsk;11;Места;Насел. пункты
placeName;Канскому;#place_kansk;10;Места;Насел. пункты
placeName;Канского;#place_kansk;9;Места;Насел. пункты
placeName;Ачинскому;#place_achinsk;9;Места;Насел. пункты
placeName;Минусинскому;#place_minusinsk;9;Места;Насел. пункты
placeName;Минусинского;#place_minusinsk;8;Места;Насел. пункты
placeName;г. Енисейске;#place_eniseysk;8;Места;Географические точки
placeName;Ачинского;#place_achinsk;8;Места;Насел. пункты
placeName;Канска;#place_kansk;7;Места;Насел. пункты
placeName;Красноярскому;#place_krasnoyarsk;7;Места;Насел. пункты
placeName;Енисейскому;#place_enisei_okrug;7;Места;Географические точки
placeName;Минусинска;#place_minusinsk;7;Места;Насел. пункты
placeName;Красноярская;#place_krasnoyarsk;6;Места;Насел. пункты
placeName;Красноярск;#place_krasnoyarsk;6;Места;Насел. пункты
placeName;Красноярска;#place_krasnoyarsk;6;Места;Насел. пункты
placeName;Иркутск;#place_irkutsk_province;6;Места;Насел. пункты
placeName;Туруханске;#place_turukhansk;6;Места;Насел. пункты
placeName;Минусинский;#place_minusinsk;6;Места;Насел. пункты
placeName;Канский;#place_kansk;6;Места;Насел. пункты
placeName;Енисейская;#place_enisei_okrug;6;Места;Географические точки
placeName;Томской губернии;#place_tomsk_province;5;Места;Адм. единицы
placeName;Ачинск;#place_achinsk;5;Места;Насел. пункты
placeName;г. Красноярска;#place_krasnoyarsk;4;Места;Насел. пункты
placeName;р. Чулым;#place_chulym_river;4;Места;Географические точки
placeName;Минусинск;#place_minusinsk;4;Места;Насел. пункты
placeName;Енисейск;#place_enisei_okrug;4;Места;Географические точки
placeName;Красноярский;#place_krasnoyarsk;4;Места;Насел. пункты
placeName;Енисейска;#place_enisei_okrug;4;Места;Географические точки
placeName;Ачинская;#place_achinsk;4;Места;Насел. пункты
placeName;Минусинская;#place_minusinsk;4;Места;Насел. пункты
placeName;Канская;#place_kansk;4;Места;Насел. пункты
placeName;Иркутского;#place_irkutsk_province;3;Места;Насел. пункты
placeName;Томской;#place_tomsk_province;3;Места;Насел. пункты
placeName;Енисейскую губернию;#place_enisei_province;3;Места;Адм. единицы
placeName;Иркутска;#place_irkutsk_province;3;Места;Насел. пункты
placeName;Енисей;#place_enisey_river;3;Места;Географические точки
placeName;г. Красноярск;#place_krasnoyarsk;3;Места;Насел. пункты
placeName;Иркутской;#place_irkutsk_province;3;Места;Насел. пункты
placeName;Туруханский край;#place_turukhansk_region;3;Места;Адм. единицы
placeName;Енисейский;#place_enisei_okrug;3;Места;Географические точки
placeName;Туруханского края;#place_turukhansk_region;3;Места;Насел. пункты
placeName;Туруханска;#place_turukhansk;3;Места;Насел. пункты
placeName;Ачинский;#place_achinsk;3;Места;Насел. пункты
placeName;Ачинской;#place_achinsk;3;Места;Насел. пункты
placeName;Минусинской;#place_minusinsk;3;Места;Насел. пункты
placeName;Пинчугской;#place_пинчугской;2;Места;Насел. пункты
placeName;Енисейскою;#place_enisei_okrug;2;Места;Географические точки
placeName;Иркутскому;#place_irkutsk_province;2;Места;Насел. пункты
placeName;Канской;#place_kansk;2;Места;Насел. пункты
placeName;г. Енисейска;#place_eniseysk;2;Места;Географические точки
placeName;Усинском;#place_усинском;2;Места;Насел. пункты
placeName;Томска;#place_tomsk_province;2;Места;Насел. пункты
placeName;Рыбинском;#place_rybinskoe;2;Места;Насел. пункты
placeName;Красноярских;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;Тесинская;#place_tesinskaya_volost;2;Места;Насел. пункты
placeName;Минусинским;#place_minusinsk;1;Места;Насел. пункты
placeName;Тобольской;#place_тобольской;1;Места;Насел. пункты
placeName;Иркутским;#place_irkutsk_province;1;Места;Насел. пункты
placeName;Енисейские;#place_enisei_okrug;1;Места;Географические точки
placeName;Иркутском;#place_irkutsk_province;1;Места;Насел. пункты
placeName;Приангарского;#place_приангарского;1;Места;Географические точки
placeName;Енисейская губерния;#place_enisei_province;1;Места;Адм. единицы
placeName;Усинский;#place_усинский;1;Места;Насел. пункты
placeName;Вознесенской;#place_вознесенской;1;Места;Насел. пункты
placeName;Еловская;#place_еловская;1;Места;Насел. пункты
placeName;Казаченской;#place_казаченской;1;Места;Насел. пункты
placeName;Новоселовской;#place_новоселовской;1;Места;Насел. пункты
placeName;Тесинской;#place_tesinskaya_volost;1;Места;Насел. пункты
placeName;Покровской;#place_покровской;1;Места;Насел. пункты
placeName;Рыбинской;#place_rybinskoe;1;Места;Насел. пункты
placeName;Канском округе;#place_kansk_okrug;1;Места;Насел. пункты
placeName;Туруханским краем;#place_turukhansk_region;1;Места;Насел. пункты
placeName;Иркутскую;#place_irkutsk_province;1;Места;Насел. пункты
placeName;Томскую;#place_tomsk_province;1;Места;Насел. пункты
placeName;Анцирской;#place_анцирской;1;Места;Насел. пункты
placeName;Шарыповской;#place_шарыповской;1;Места;Насел. пункты
placeName;Балахтинской;#place_балахтинской;1;Места;Насел. пункты
placeName;Подсосенской;#place_подсосенской;1;Места;Насел. пункты
placeName;Чулыму;#place_chulym_river;1;Места;Насел. пункты
placeName;Томск;#place_tomsk_province;1;Места;Насел. пункты
placeName;Кежемской;#place_кежемской;1;Места;Насел. пункты
placeName;Канского округа;#place_kansk_okrug;1;Места;Насел. пункты
placeName;Минусинского округа;#place_minusinsk_okrug;1;Места;Насел. пункты
placeName;Ачинского округа;#place_achinsk_okrug;1;Места;Насел. пункты
placeName;Енисейского округа;#place_enisei_okrug;1;Места;Географические точки
placeName;Рыбинская;#place_rybinskoe;1;Места;Насел. пункты
placeName;Красноярскою;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Красноярском округе;#place_krasnoyarsk_okrug;1;Места;Насел. пункты
placeName;Нахвальской;#place_нахвальской;1;Места;Насел. пункты
placeName;Тесинском;#place_tesinskaya_volost;1;Места;Насел. пункты
placeName;Александровский;#place_александровский;1;Места;Насел. пункты
placeName;Красноярское;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Восточную Сибирь;#place_eastern_siberia;1;Места;Насел. пункты
placeName;Ирбейская;#place_ирбейская;1;Места;Насел. пункты
placeName;Тасеевская;#place_тасеевская;1;Места;Насел. пункты
placeName;Устьянская;#place_устьянская;1;Места;Насел. пункты
placeName;Канск;#place_kansk;1;Места;Насел. пункты
placeName;Красноярск;;1;Места;Насел. пункты
placeName;Енисейск;;1;Места;Географические точки
placeName;Канск;;1;Места;Насел. пункты
placeName;Ачинск;;1;Места;Насел. пункты
placeName;Минусинск;;1;Места;Насел. пункты
placeName;Туруханск;;1;Места;Насел. пункты
placeName;Енисейская губерния;;1;Места;Адм. единицы
placeName;Томская губерния;;1;Места;Адм. единицы
placeName;Иркутская губерния;;1;Места;Адм. единицы
placeName;Восточная Сибирь;;1;Места;Насел. пункты
placeName;Туруханский край;;1;Места;Адм. единицы
placeName;Енисейский округ;;1;Места;Географические точки
placeName;Красноярский округ;;1;Места;Насел. пункты
placeName;Канский округ;;1;Места;Насел. пункты
placeName;Ачинский округ;;1;Места;Насел. пункты
placeName;Минусинский округ;;1;Места;Насел. пункты
placeName;Енисей;;1;Места;Географические точки
placeName;Чулым;;1;Места;Насел. пункты
placeName;Рыбинское;;1;Места;Насел. пункты
placeName;Тесинская волость;;1;Места;Адм. единицы
placeName;Пинчугской;;1;Места;Насел. пункты
placeName;Тобольской;;1;Места;Насел. пункты
placeName;Приангарского;;1;Места;Географические точки
placeName;Усинский;;1;Места;Насел. пункты
placeName;Вознесенской;;1;Места;Насел. пункты
placeName;Еловская;;1;Места;Насел. пункты
placeName;Казаченской;;1;Места;Насел. пункты
placeName;Новоселовской;;1;Места;Насел. пункты
placeName;Покровской;;1;Места;Насел. пункты
placeName;Усинском;;1;Места;Насел. пункты
placeName;Анцирской;;1;Места;Насел. пункты
placeName;Шарыповской;;1;Места;Насел. пункты
placeName;Балахтинской;;1;Места;Насел. пункты
placeName;Подсосенской;;1;Места;Насел. пункты
placeName;Кежемской;;1;Места;Насел. пункты
placeName;Нахвальской;;1;Места;Насел. пункты
placeName;Александровский;;1;Места;Насел. пункты
placeName;Ирбейская;;1;Места;Насел. пункты
placeName;Тасеевская;;1;Места;Насел. пункты
placeName;Устьянская;;1;Места;Насел. пункты
