Незаконнорожденных_муж;Незаконнорожденных_жен;Незаконнорожденных_об_пола;Всего_муж;Всего_жен;Всего_об_пола;Умерших_муж;Умерших_жен;Умерших_об_пола;Прибыль_или_убыль;Число_браков
*;107;203;693;644;1337;721;565;1286;+51;174
*;35;70;188;177;365;258;254;492;-127;56
*;30;49;235;218;453;266;157;423;+30;68
*;2;11;115;101;216;125;56;181;+35;31
*;8;23;275;242;517;254;174;428;+89;84
*;5;11;68;57;125;9;13;22;+103;19
*;187;367;1574;1439;3013;1633;1199;2832;+181;432
*;103;220;1774;1716;3490;1542;1332;2874;+616;179
*;94;201;1374;1326;2700;1168;1018;2186;+514;464
*;163;343;2455;2443;4898;1879;1613;3492;+1406;716
*;184;359;2904;2953;5857;2159;1966;4125;+1732;823
*;607;1201;4827;4535;9362;3081;2669;5750;+3612;1284
*;12;28;184;170;354;63;57;120;+234;68
*;—;1;30;42;72;28;28;56;+16;10
*;1163;2553;13548;13185;26733;9920;8683;18693;+8130;3844
*;1350;2720;15122;14626;29746;11553;9882;21435;8311;4276
