Наименование_преступлений;Число_преступлений;Осужденных_М;Осужденных_Ж;Мещан_М;Мещан_Ж;Крестьян_М;Крестьян_Ж
Против_нравственности;11;10;8;3;1;4;*
Нарушение_устава_почтового;1;1;—;—;—;1;*
Нарушение_устава_о_кредите;1;1;—;—;—;—;*
Нарушение_уст_торговых;10;6;2;1;2;3;*
Смертоубийство;67;54;7;4;—;35;*
Самоубийство;5;2;1;1;—;1;*
Нанесение_увечья_ран;77;72;—;8;—;47;*
Против_чести_и_целомудрия;7;6;—;—;—;4;*
Оскорбления_личные;2;2;—;—;—;2;*
Клевета;9;4;—;1;—;1;*
Незаконное_задержание;2;6;—;—;—;3;*
Угрозы;1;1;—;—;—;1;*
Против_союза_брачного;15;12;12;3;4;5;*
Против_союза_родственного;2;2;2;—;—;2;*
Зажигательство;2;4;—;—;—;4;*
Разбой;20;28;—;—;—;16;*
Грабеж;34;41;5;4;2;17;*
Кража;154;157;2;10;—;78;*
Мошенничество;5;5;—;—;—;—;*
ИТОГО_ПО_УЛОЖЕНИЮ;788;712;99;73;19;405;*
