Военных_М;Инородцев_М;Поселенцев_М;Ниже_17_М;17_20_М;21_30_М;31_40_М;41_50_М;51_60_М;Свыше_60_М
—;—;—;—;—;5;1;1;—;—
—;—;—;—;—;—;1;—;—;—
—;—;—;—;—;—;1;—;—;—
—;—;1;—;—;—;—;1;—;—
1;—;14;—;3;18;18;9;2;4
—;—;—;—;—;—;2;—;—;—
2;—;15;—;—;28;19;6;4;2
—;—;2;—;1;2;1;—;—;2
—;—;—;—;—;2;—;—;—;—
—;—;2;—;1;—;1;—;—;—
—;—;—;—;—;—;—;—;—;—
1;—;—;—;—;—;1;—;—;—
—;—;2;—;—;4;1;4;—;1
—;—;1;—;—;1;1;—;—;—
—;—;—;—;—;—;1;—;—;—
—;—;4;—;—;4;—;—;1;—
—;4;8;—;4;12;8;4;—;—
—;—;20;—;3;16;15;7;—;—
—;—;68;—;9;43;46;29;18;7
15;5;192;1;52;220;203;125;54;25
