Наименование_преступлений;Число_преступлений;Осужденных_М;Осужденных_Ж;Мещан_М;Мещан_Ж;Крестьян_М
Против_порядка_управления;499;463;78;117;34;270
О_нарушении_порядка_и_спокойствия;473;347;60;97;16;162
Против_общественного_благоустройства;262;70;14;35;6;26
О_паспортах;751;560;52;42;1;20
Строительного_устава;80;47;5;17;3;24
Меры_предосторожности_от_пожаров;147;177;5;16;1;136
Против_народного_здравия;97;115;12;41;5;42
Против_личной_безопасности;171;114;17;36;6;53
Оскорбление_чести;892;260;91;97;33;114
Угрозы_и_насилие;190;142;12;43;5;75
Против_прав_семейных;17;44;2;—;—;41
Пользование_чужим_имуществом;126;97;4;7;2;62
Похищение_чужого_леса;244;226;2;11;—;161
О_краже;1494;714;69;95;7;373
О_мошенничестве;233;115;8;24;2;68
ИТОГО_ПО_МИРОВОМУ;5531;3492;411;678;126;1512
Побеги_ссыльных;119;118;—;—;—;—
ВСЕГО;6538;4322;510;753;145;2115
