Города_и_уезды;Детоубийство;Смертоубийство;Всего_случаев;Жертвы_М;Жертвы_Ж;Самоубийство_М;Самоубийство_Ж;От_болезни_М;От_пьянства_М;Неизвестно_М
Красноярск;—;9;9;9;—;14;—;—;2;*
Красноярский_уезд;—;15;15;11;4;6;—;10;1;*
Енисейск;—;3;3;3;—;5;—;—;4;*
Енисейский_уезд;1;3;4;4;2;2;—;4;2;1
Канск;—;2;2;2;—;5;—;—;1;*
Канский_уезд;—;64;64;61;3;6;1;—;5;*
Ачинск;—;—;—;—;—;1;—;—;—;*
Ачинский_уезд;—;1;1;1;—;5;1;—;2;*
Минусинск;—;2;2;2;—;—;—;—;4;*
Минусинский_уезд;1;14;15;15;—;7;—;—;10;1
Золотые_промыслы;—;1;1;1;—;1;1;6;1;*
ИТОГО;2;114;116;109;9;51;5;20;52;*
