Города_и_уезды;Убито_громом;Упало_с_высоты;Сгорело_на_пожарах;Умерло_от_угара;Замерзло;Утонуло;Загрызено_зверями;Другие_случайности;ИТОГО_М;ИТОГО_Ж
Красноярск;—;1;—;—;1;—;—;25;25;—
Красноярский_уезд;1;5;—;—;2;8;—;5;21;4
Енисейск;—;—;1;—;—;—;—;4;5;—
Енисейский_уезд;—;4;2;—;4;7;—;—;17;8
Канск;—;—;—;—;—;1;—;1;2;—
Канский_уезд;1;2;8;3;2;12;—;40;69;5
Ачинск;—;—;—;—;—;2;—;4;6;2
Ачинский_уезд;—;1;—;—;3;15;—;19;38;9
Минусинск;—;—;—;—;2;—;—;5;7;—
Минусинский_уезд;1;13;4;—;3;39;—;74;154;—
Золотые_промыслы;—;1;2;—;2;1;1;—;7;—
ИТОГО;5;27;17;3;20;87;1;176;354;28
