Наименование_сборов;К_1_января_1898_отсроченных;К_1_января_1898_срочных;Причислено_отсроченных;Причислено_срочных;Исключено_отсроченных;Исключено_срочных;Всего_к_поступлению;В_том_числе_отсроченных;В_том_числе_срочных
С_крестьян_старожилов;12637-81;8107-59;*;*;2790-29;419-90;21506-2;*;11818-*
Из_ссыльных;—;4915-2;—;*;—;5786-32;*;*;288-*
Из_казаков;*;21-17;—;1-22;1-22;—;53-19;30-79;22-*
Административно_ссыльных;—;*;—;95-78;—;664-56;90-71;—;90-*
С_оседлых_инородцев;—;*;—;—;—;—;59-63;*;*;*
С_купцов_и_мещан;—;296-79;—;—;—;36-53;*;—;170-*
С_кочевых_инородцев;—;25-80;—;—;—;1-2;24-78;—;24-78
Поселенцев_полного_оклада;—;548-97;—;804-27;—;7521-32;443-*;;443-*
Поселенцев_половинного_оклада;—;1237-44;—;235-*;—;*;*;*;*
ИТОГО;12937-85;20624-2;—;4196-47;2791-54;11933;22704-*;9877-*;*
