Название округа и волости;Число участков;Удобной земли;Неудобной;Всего;На какое число душ
Ирбейская вол.: переселенческий участок;1;3950.6;149.92;4100.52;255
Тинская вол.: переселенческих;7;24608.02;3911.04;28519.06;1582
Тинская вол.: запасных;2;5839.88;217.1;6056.98;373
Тасеевская вол.: переселенческих;3;9188.04;1054.37;10242.41;587
Тасеевская вол.: запасный;1;3049.6;616.8;3666.4;195
Устьянская вол.: переселенческих;7;22897.2;5894.67;28791.87;1475
Устьянская вол.: запасных;3;4189.4;584.6;4774;278
ИТОГО переселенческих;18;60643.86;11007;71650.86;3899
ИТОГО запасных;6;13078.88;1418.5;14497.38;851
А ВСЕГО;24;73722.74;12425.5;86148.24;4750
