Наименование_сборов;К_1_января_1898_срочных;Причислено_срочных;Исключено_срочных;Всего_к_поступлению;В_том_числе_срочных
С_крестьян_старожилов;*;6-94;1-*;*;*
Из_ссыльных;2976-*;15-92;264-17;2727-77;2727-77
Из_казаков;*-1;*;*;*;19-69
Переселенцев;1-47;*;*;2-32;2-33
С_оседлых_инородцев;*-68;—;—;*;*-68
С_купцов_и_мещан;—;—;27-45;176-12;170-*
С_кочевых_инородцев;1-14;—;—;1-14;1-14
С_поселенцев_полного_оклада;*;47-11;175-*;1474-*;1474-9
ИТОГО;*-11;*;468-*;*;*
Оброчной_подати_с_оседлых;*-75;—;—;99-75;*-75
Ясачного_сбора;1905-41;—;7-70;1897-71;*-71
Пожарного_капитала;850-*;;2-12;*;852-*;852-26
Экономического_капитала_полного;*-48;*;423-*;;1400-51;1480-*
Экономического_капитала_половинного;887-*;335-4;488-*;*;*
ВСЕГО_ПО_ГУБЕРНИИ;*-32;*-56;12818-74;164174-*;*-57
