Наименование_преступлений;Число_преступлений;Число_осужденных_М;Число_осужденных_Ж;Дворян_М;Дворян_Ж;Поч_гражд_М;Поч_гражд_Ж;Духовных_М;Духовных_Ж;Мещан_М;Мещан_Ж;Крестьян_М;Крестьян_Ж
Против_веры;17;11;4;—;—;—;—;—;—;2;—;5;*
О_святотатстве;2;2;1;—;—;—;—;—;—;—;—;1;*
Сопротивление_власти;5;5;—;—;—;—;—;—;—;—;—;2;*
Оскорбление_чиновников;55;50;8;—;—;1;—;1;1;7;4;30;*
Присвоение_власти;5;5;—;—;—;—;—;—;—;1;—;—;*
Похищение_бумаг;2;5;—;—;—;—;—;—;—;—;—;1;*
Взлом_тюрем;11;12;—;—;—;—;—;—;—;1;—;2;*
По_службе;52;31;—;—;—;—;—;—;—;1;—;*22;*
Воинская_повинность;52;23;—;—;—;2;—;—;—;3;—;17;*
Нарушение_монетных_уставов;9;9;—;—;—;—;—;—;—;—;—;7;*
Горные_уставы;3;6;—;—;—;—;—;—;—;—;—;1;*
Питейный_и_табачный_сбор;176;89;48;—;—;1;2;—;—;20;6;59;*
Злонамеренные_шайки;5;16;—;—;—;—;—;—;—;—;—;12;*
Ложные_доносы;3;3;—;—;—;—;—;—;—;—;—;3;*
Бродяжничество;6;6;—;—;—;—;—;—;—;—;—;1;*
Подложные_виды;18;19;1;—;—;—;—;—;—;2;—;10;*
