Военных_М;Инородцев_М;Инородцев_Ж;Поселенцев_М;Ссыльных_М;Ниже_17_М;17_20_М;21_30_М;31_40_М;41_50_М;51_60_М;Свыше_60_М
—;—;—;3;—;—;—;4;4;1;3;1;—
—;—;—;1;—;—;—;1;1;—;—;—;—
—;—;—;3;—;—;—;—;2;2;—;1;—
1;—;—;9;—;—;3;7;7;14;7;1;—
—;—;—;4;—;—;2;2;—;1;—;—;—
—;—;—;2;—;—;—;—;—;1;2;—;—
—;—;—;9;—;—;1;2;4;2;2;1;—
4;—;—;3;—;—;3;8;14;3;1;2;—
1;—;—;—;—;—;—;10;1;—;—;—;—
—;—;—;2;—;—;—;5;3;—;—;—;—
—;—;—;5;—;—;—;1;2;2;1;2;—
3;2;1;5;—;1;1;19;31;22;12;2;3
—;—;—;—;—;—;1;10;1;—;2;—;—
—;—;—;—;—;—;—;2;1;3;—;—;—
—;—;—;4;1;—;—;2;1;3;—;—;—
—;—;—;7;—;—;—;3;7;4;—;1;—
