ГОРОДА И УЪЗДЫ,Законнорожденныхъ: Муж.,Законнорожденныхъ: Жен.,Законнорожденныхъ: Обоего пола,Незаконнорожденныхъ: Муж.,Незаконнорожденныхъ: Жен.,Незаконнорожденныхъ: Обоего пола,ВСЕГО родившихся: Муж.,ВСЕГО родившихся: Жен.,ВСЕГО родившихся: Обоего пола,Число умершихъ: Муж.,Число умершихъ: Жен.,Число умершихъ: Обоего пола,Прибыль (+) или убыль (-),Число браковъ
Въ г. Красноярскѣ,649,596,1245,117,107,224,766,703,1469,783,639,1422,+47,271
Въ г. Енисейскѣ,162,161,323,29,33,62,191,194,385,305,146,451,-66,66
Въ г. Канскѣ,173,148,321,41,23,64,214,171,385,157,108,265,+120,44
Въ г. Ачинскѣ,109,98,207,9,8,17,118,106,224,119,71,190,+34,34
Въ г. Минусинскѣ,227,197,424,25,19,44,252,216,468,199,158,357,+111,67
Въ г. Туруханскѣ,22,32,54,1,2,3,23,34,57,18,15,33,+24,14
Итого въ городахъ,1342,1232,2574,222,192,414,1564,1424,2988,1581,1137,2718,+270,496
Въ Красноярскомъ уѣздѣ,1770,1712,3482,116,95,211,1886,1807,3693,1776,1568,3344,+349,610
Въ Енисейскомъ уѣздѣ,1323,1243,2566,107,144,251,1430,1387,2817,1006,901,1907,+910,436
Въ Канскомъ уѣздѣ,3240,3170,6410,220,190,410,3460,3360,6820,2189,1920,4109,+2711,1159
Въ Ачинскомъ уѣздѣ,3536,3310,6846,217,222,439,3753,3532,7285,2283,1952,4235,+3050,1088
Въ Минусинскомъ уѣздѣ,5610,5289,10899,765,720,1485,6375,6009,12384,4010,3786,7796,+4588,1381
Въ Туруханскомъ краѣ,190,160,350,34,28,62,224,188,412,64,49,113,+299,55
Въ Усинскомъ пограничномъ уѣздѣ,————,————,————,Свѣдѣній,не,доставлено,————,————,————,————,————,————,————,————
Итого въ уѣздахъ,15669,14884,30553,1459,1399,2858,17128,16283,33411,11328,10176,21504,+11907,4729
ВСЕГО въ губерніи,17011,16116,33127,1681,1591,3272,18692,17707,36399,12909,11313,24222,+12177,5225
