Категорія сборовъ / Окладные платежи,Оставалось недоимокъ на 1 янв 1901 (Срочныхъ),Оклада на 1901 г.,Всего причиталось къ поступленію,Всего поступило зачтено и исключено,Осталось въ недоимкахъ къ 1 янв 1902 (Всего)
Подушная подать: Съ крестьянъ старожиловъ,12688.0625,945.87,18109.2875,918.78,17641.825
Подушная подать: Изъ ссыльныхъ,8.79,—,8.79,—,8.79
Подушная подать: Изъ казаковъ,17.41,—,48.7625,—,48.7625
Подушная подать: Съ осѣдл. инородцевъ,17.97,—,17.97,—,17.97
Подушная подать: Съ купцовъ и мѣщанъ...,76.86,—,69.24,2.10,67.14
Подушная подать: Съ кочевыхъ инородцевъ,24.83,—,24.86,3.28,21.28
ИТОГО подушной подати по губерніи,12828.2625,945.87,18270.50,919.16,17697.21
Межевой сборъ: ИТОГО по губерніи,88.4125,—,80.8425,8.8825,71.96
Оброчная подать: ИТОГО по губерніи,95320.2725,4600.46,42815.6125,8080.8125,59153.5125
Пожарный капиталъ: ИТОГО по губерніи,815.25,—,814.48,8.94,810.49
Экономическій капиталъ съ поселенцевъ,8146.9125,2072.1625,8240.60,1822.4925,8490.88
Налогъ съ недвижимыхъ имуществъ и пени,1994.43,18000.00,1889.15,18045.46,1815.69
Государственная оброчная подать: ИТОГО по губерніи,68289.52,346168.11,68272.13,307070.38,112453.90
Оброчная подать съ переселенцевъ: ИТОГО по губерніи,42913.69,27150.2925,42721.2625,21808.4825,48072.7325
Государственная поземельная подать,715.87,1221.79,715.87,1162.99,765.88
Государственный квартирный налогъ: ИТОГО по губерніи,—,9619.66,882.71,8786.95,882.71
Губернскія повинности съ сельскихъ сословій: ИТОГО по губерніи,119876.6325,909662.8125,118251.6425,326708.81,101408.6425
Губернскія повинности съ прочихъ сословій: ИТОГО по губерніи,11443.6625,17746.32,11446.225,19884.9,9308.2825
Ясачный сборъ съ кочевыхъ и бродячихъ инородцевъ: ИТОГО,4209.64,4468.33,4209.64,4208.76,4469.21
ВСЕГО вообще всѣхъ суммъ по губерніи,300640.7625,746359.7625,311795.71,718350.90,339774.8725
