Наименованіе преступленій,Число преступленій,Осуждено: Муж.,Осуждено: Жен.,Осужденные моложе 17 лѣтъ,Осужденные 17-20 лѣтъ,Осужденные 21-30 лѣтъ,Осужденные 31-40 лѣтъ,Осужденные 41-50 лѣтъ,Осужденные 51-60 лѣтъ,Осужденные старше 60 лѣтъ
По Уложенію о наказаніяхъ:,,,,,,,,,,
О преступленіяхъ противъ вѣры и церкви,5,3,1,—,—,1,—,1,1,—
О святотатствѣ,3,2,—,—,1,—,—,1,—,—
О сопротивленіи распоряженіямъ Правительства,20,13,1,2,—,3,7,1,2,—
Овъ оскорбленіи присутственныхъ мѣстъ и чиновниковъ,81,67,7,14,2,21,22,12,7,3
О самовольномъ присвоеніи власти,20,16,—,9,—,3,5,6,—,2
О взломѣ тюремъ уводѣ и убѣгѣ находящихся подъ стражей,4,4,—,1,—,1,1,3,—,—
О преступленіяхъ по службѣ государственной и общественной,101,83,—,4,1,18,35,19,7,3
Объ уклоненіи отъ воинской повинности,45,39,—,17,—,20,17,2,—,—
О нарушеніи уставовъ монетныхъ,32,17,2,4,2,4,5,6,—,—
О нарушеніи постановленій о гербовомъ сборѣ,1,1,—,—,—,—,1,—,—,—
О нарушеніи уставовъ горныхъ,2,2,—,2,—,—,—,1,—,—
О нарушеніи постановленій о питейномъ сборѣ...,136,97,30,8,19,14,36,28,7,7
О нарушеніи уставовъ врачебныхъ,1,1,—,1,—,—,—,—,—,1
О возбужденіи къ начатію противозаконныхъ исковъ,1,1,—,—,—,—,—,1,—,—
О бродяжничествѣ,28,14,—,5,1,1,1,8,4,2
О составленіи подложныхъ видовъ на жительство,36,30,—,15,2,4,11,7,5,1
О преступленіяхъ противъ общественной нравственности,20,12,11,—,3,5,2,2,—,—
О нарушеніи устава почтово-телеграфнаго,2,2,—,1,—,—,2,—,—,—
О нарушеніи уставовъ торговыхъ,6,13,—,1,—,—,3,7,3,—
О преступленіяхъ противъ законовъ о состояніяхъ,13,6,2,—,—,3,—,2,1,—
О смертоубійствѣ,68,59,11,16,6,23,16,6,5,2
О нанесеніи увѣчья ранъ и др. поврежденій здоровью,143,140,6,18,18,49,30,32,5,3
О преступленіяхъ противъ чести и цѣломудрія женщинъ,2,2,—,1,1,1,1,—,—,—
О непосредственныхъ личныхъ оскорбленіяхъ,3,8,1,1,1,1,5,—,1,1
О преступленіяхъ противъ союза брачнаго,13,5,6,1,1,3,2,—,1,—
О зажигательствѣ,5,3,2,1,—,1,1,1,—,—
Объ истребленіи чужого имущества,1,—,1,1,—,—,—,1,—,—
О разбоѣ,10,8,—,1,—,3,4,1,—,—
О грабежѣ,21,28,6,10,8,14,3,3,—,—
О кражѣ,247,241,18,76,14,80,71,55,17,2
О мошенничествѣ,1,1,—,—,1,—,—,—,—,—
О присвоеніи и утайкѣ чужой собственности,9,6,—,2,3,1,1,2,—,—
О преступленіяхъ по договорамъ,11,9,1,2,—,3,2,1,2,1
Итого по Уложенію о наказаніяхъ,1091,933,106,191,64,279,292,203,63,26
По Мировому уставу:,,,,,,,,,,
О преступленіяхъ противъ порядка управленія,845,745,103,43,55,221,235,150,55,25
О нарушеніи порядка и спокойствія,574,558,104,83,65,224,172,47,41,3
О проступкахъ противъ общественнаго благоустройства,140,44,5,1,—,8,15,6,9,—
О нарушеніи устава о паспортахъ,481,378,27,242,2,50,160,80,60,26
О нарушеніи устава строительнаго,240,217,20,37,—,36,117,50,13,1
О нарушеніи правилъ пожарной безопасности,263,221,11,18,4,86,78,27,12,6
О нарушеніи уставовъ почтоваго и телеграфнаго,5,4,—,—,—,1,—,—,—,—
О проступкахъ противъ народнаго здравія,61,55,12,6,3,11,17,10,6,5
О проступкахъ противъ личной безопасности,153,119,17,15,7,39,36,22,6,1
Объ оскорбленіи чести,494,385,114,29,17,152,116,60,23,8
Объ угрозахъ и насиліи,348,258,36,41,19,96,93,32,13,3
О самовольномъ пользованіи чужимъ имуществомъ,65,62,7,6,2,19,24,10,4,1
О похищеніи и поврежденіи чужого лѣса,391,321,11,20,21,74,107,52,45,14
О кражѣ,1041,779,110,208,74,272,225,112,58,20
О мошенничествѣ обманахъ и присвоеніи,246,168,23,22,8,43,64,35,11,6
Итого по мировому уставу,5347,4314,600,771,277,1331,1460,693,356,133
О побѣгахъ ссыльнопоселенцевъ,12,12,—,12,1,9,1,1,—,—
ВСЕГО,6450,5259,706,974,342,1619,1753,897,419,159
